Year,Age,Level,Employer,Role
1995,33,College (FBS),Vanderbilt,Special Teams/Tight Ends/Running Backs
1996,34,College (FBS),Vanderbilt,Special Teams/Tight Ends/Running Backs
1997,35,NFL,Baltimore Ravens,Tight Ends
1998,36,NFL,Baltimore Ravens,Tight Ends
1999,37,NFL,Cleveland Browns,Tight Ends
2000,38,NFL,New York Jets,Special Teams
2001,39,NFL,Pittsburgh Steelers,Tight Ends
2002,40,NFL,Pittsburgh Steelers,Tight Ends
2003,41,NFL,Pittsburgh Steelers,Tight Ends
2004,42,NFL,Pittsburgh Steelers,Offensive Coordinator
2005,43,NFL,Pittsburgh Steelers,Offensive Coordinator
2006,44,NFL,Pittsburgh Steelers,Offensive Coordinator
2007,45,NFL,Arizona Cardinals,Head Coach
2008,46,NFL,Arizona Cardinals,Head Coach
2009,47,NFL,Arizona Cardinals,Head Coach
2010,48,NFL,Arizona Cardinals,Head Coach
2011,49,NFL,Arizona Cardinals,Head Coach
2012,50,NFL,Arizona Cardinals,Head Coach
2013,51,NFL,San Diego Chargers,Offensive Coordinator
2014,52,NFL,Tennessee Titans,Head Coach
2015,53,NFL,Tennessee Titans,Head Coach
2016,54,NFL,San Diego Chargers,Offensive Coordinator
2017,55,NFL,Los Angeles Chargers,Offensive Coordinator
2018,56,NFL,Los Angeles Chargers,Offensive Coordinator
2019,57,NFL,Los Angeles Chargers,Offensive Coordinator
2021,59,College (FBS),Penn State,Offensive Analyst
2022,60,College (FBS),Penn State,Offensive Analyst
2023,61,College (FBS),Alabama,Special Assistant
2025,63,UFL,Memphis Showboats,Head Coach
