Year,Age,Level,Employer,Role
2003,24,College (FBS),UCLA,Graduate Assistant
2004,25,NFL,Tampa Bay Buccaneers,Offensive Quality Control
2005,26,NFL,Tampa Bay Buccaneers,Offensive Quality Control
2006,27,NFL,Houston Texans,Wide Receivers
2007,28,NFL,Houston Texans,Quarterbacks
2008,29,NFL,Houston Texans,Offensive Coordinator
2009,30,NFL,Houston Texans,Offensive Coordinator
2010,31,NFL,Washington Redskins,Offensive Coordinator
2011,32,NFL,Washington Redskins,Offensive Coordinator
2012,33,NFL,Washington Redskins,Offensive Coordinator
2013,34,NFL,Washington Redskins,Offensive Coordinator
2014,35,NFL,Cleveland Browns,Offensive Coordinator
2015,36,NFL,Atlanta Falcons,Offensive Coordinator
2016,37,NFL,Atlanta Falcons,Offensive Coordinator
2017,38,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator
2018,39,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator
2019,40,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator
2020,41,NFL,San Francisco 49ers,Head Coach/Offensive Coordinator
2021,42,NFL,San Francisco 49ers,Head Coach
2022,43,NFL,San Francisco 49ers,Head Coach
2023,44,NFL,San Francisco 49ers,Head Coach
2024,45,NFL,San Francisco 49ers,Head Coach
2025,46,NFL,San Francisco 49ers,Head Coach
