Year,Age,Level,Employer,Role
1926,27,High School,Washington HS (Milwaukee WI),Head Coach
1927,28,High School,Washington HS (Milwaukee WI),Head Coach
1928,29,High School,Washington HS (Milwaukee WI),Head Coach
1929,30,High School,Washington HS (Milwaukee WI),Head Coach
1930,31,High School,Washington HS (Milwaukee WI),Head Coach
1931,32,High School,Washington HS (Milwaukee WI),Head Coach
1932,33,High School,Washington HS (Milwaukee WI),Head Coach
1933,34,High School,Washington HS (Milwaukee WI),Head Coach
1934,35,High School,Washington HS (Milwaukee WI),Head Coach
1935,36,High School,Washington HS (Milwaukee WI),Head Coach
1936,37,High School,Washington HS (Milwaukee WI),Head Coach
1937,38,High School,Washington HS (Milwaukee WI),Head Coach
1938,39,High School,Washington HS (Milwaukee WI),Head Coach
1939,40,High School,Washington HS (Milwaukee WI),Head Coach
1940,41,High School,Washington HS (Milwaukee WI),Head Coach
1941,42,High School,Washington HS (Milwaukee WI),Head Coach
1942,43,High School,Washington HS (Milwaukee WI),Head Coach
1943,44,High School,Washington HS (Milwaukee WI),Head Coach
1944,45,High School,Washington HS (Milwaukee WI),Head Coach
1945,46,High School,Washington HS (Milwaukee WI),Head Coach
1946,47,High School,Washington HS (Milwaukee WI),Head Coach
1947,48,High School,Washington HS (Milwaukee WI),Head Coach
1948,49,College,Wisconsin,Backfield Coach
1949,50,College,Marquette,Line Coach
1950,51,College,Marquette,Head Coach
1951,52,College,Marquette,Head Coach
1952,53,College,Marquette,Head Coach
1953,54,College,Marquette,Head Coach
1954,55,NFL,Green Bay Packers,Head Coach
1955,56,NFL,Green Bay Packers,Head Coach
1956,57,NFL,Green Bay Packers,Head Coach
1957,58,NFL,Green Bay Packers,Head Coach
1958,59,College,Carroll Coll. (WI),Head Coach
1959,60,College,Marquette,Head Coach
1960,61,College,Marquette,Head Coach
