,Year,Age,Level,Employer,Role
0,1915,31,College,Washington State,Head Coach
1,1916,32,College,Washington State,Head Coach
2,1917,33,College,Washington State,Head Coach
3,1918,34,College,Mare Island Marines,Head Coach
4,1921,37,College,Purdue,Head Coach
5,1922,38,College,Louisiana Tech,Head Coach
6,1923,39,College,Louisiana Tech,Head Coach
7,1924,40,College,Wyoming,Head Coach
8,1925,41,College,Wyoming,Head Coach
9,1926,42,College,Wyoming,Head Coach
10,1927,43,College,Stanford,Assistant Coach
11,1928,44,College,Stanford,Assistant Coach
12,1929,45,College,Haskell,Head Coach
13,1930,46,College,Haskell,Head Coach
14,1931,47,College,Haskell,Head Coach
15,1932,48,College,Haskell,Head Coach
16,1933,49,NFL,Boston Redskins,Head Coach
17,1934,50,NFL,Boston Redskins,Head Coach
18,1937,53,College,Albright Coll.,Head Coach
19,1938,54,College,Albright Coll.,Head Coach
20,1939,55,College,Albright Coll.,Head Coach
21,1940,56,College,Albright Coll.,Head Coach
22,1941,57,College,Albright Coll.,Head Coach
23,1942,58,College,Albright Coll.,Head Coach
