Year,Age,Level,Employer,Role
1923,29,College,Penn,Assistant Coach
1924,30,College,Penn,Assistant Coach
1925,31,College,Penn,Assistant Coach
1926,32,College,Penn,Assistant Coach
1927,33,College,Penn,Assistant Coach
1928,34,College,Penn,Assistant Coach
1929,35,College,Penn,Assistant Coach
1930,36,College,Penn,Head Coach
1932,38,NFL,Boston Braves,Head Coach
1933,39,NFL,Philadelphia Eagles,Head Coach
1934,40,NFL,Philadelphia Eagles,Head Coach
1935,41,NFL,Philadelphia Eagles,Head Coach
1936,42,High School,St. Joseph's Prep (Philadelphia),Assistant Coach
1937,43,High School,St. Joseph's Prep (Philadelphia),Assistant Coach
1938,44,College,Manhattan Coll.,Line Coach
1939,45,College,Manhattan Coll.,Line Coach
1940,46,College,Manhattan Coll.,Line Coach
1941,47,College,Holy Cross,Line Coach
1942,48,College,Holy Cross,Line Coach
1943,49,College,Holy Cross,Line Coach
1944,50,College,Villanova,Line Coach
1945,51,NFL,Pittsburgh Steelers,Line Coach
