Year,Age,Level,Employer,Role
1937,32,NFL,Chicago Bears,Assistant Coach
1938,33,NFL,Chicago Bears,Assistant Coach
1939,34,NFL,Chicago Bears,Assistant Coach
1940,35,NFL,Chicago Bears,Assistant Coach
1941,36,NFL,Chicago Bears,Assistant Coach
1942,37,NFL,Chicago Bears,Head Coach
1943,38,NFL,Chicago Bears,Head Coach
1944,39,NFL,Chicago Bears,Head Coach
1945,40,NFL,Chicago Bears,Head Coach
1946,41,NFL,Chicago Bears,Assistant Coach
1947,42,NFL,Chicago Bears,Assistant Coach
1948,43,NFL,Chicago Bears,Assistant Coach
1949,44,NFL,Chicago Bears,Assistant Coach
1950,45,NFL,Chicago Bears,Assistant Coach
1951,46,NFL,Chicago Bears,Assistant Coach
1952,47,NFL,Chicago Bears,Assistant Coach
1953,48,NFL,Chicago Bears,Assistant Coach
1954,49,NFL,Chicago Bears,Assistant Coach
1955,50,NFL,Chicago Bears,Assistant Coach
1956,51,NFL,Chicago Bears,Assistant Coach
1957,52,NFL,Chicago Bears,Assistant Coach
1958,53,NFL,Chicago Bears,Assistant Coach
1959,54,NFL,Chicago Bears,Assistant Coach
1960,55,NFL,Chicago Bears,Assistant Coach
1961,56,NFL,Chicago Bears,Assistant Coach
1962,57,NFL,Chicago Bears,Assistant Coach
1963,58,NFL,Chicago Bears,Assistant Coach
1964,59,NFL,Chicago Bears,Assistant Coach
1965,60,NFL,Chicago Bears,Assistant Coach
1966,61,NFL,Chicago Bears,Assistant Coach
1967,62,NFL,Chicago Bears,Assistant Coach
1968,63,NFL,Chicago Bears,Assistant Coach
