Year,Age,Level,Employer,Role
1924,24,College,Yale,Assistant Coach
1925,25,College,Yale,Assistant Coach
1926,26,College,Yale,Assistant Coach
1927,27,College,Yale,Assistant Coach
1928,28,College,Yale,Head Coach
1929,29,College,Yale,Head Coach
1930,30,College,Yale,Head Coach
1931,31,College,Yale,Head Coach
1932,32,College,Yale,Head Coach
1933,33,College,Yale,Freshmen Coach
1934,34,College,NYU,Head Coach
1935,35,College,NYU,Head Coach
1936,36,College,NYU,Head Coach
1937,37,College,NYU,Head Coach
1938,38,College,NYU,Head Coach
1939,39,College,NYU,Head Coach
1940,40,College,NYU,Head Coach
1941,41,College,NYU,Head Coach
1946,46,AAFC,Brooklyn Dodgers,Head Coach
