Year,Age,Level,Employer,Role
2003,24,College (NCAA D-II),Saginaw Valley State,Offensive Assistant
2004,25,College (FBS),Central Michigan,Offensive Assistant
2005,26,College (FBS),Central Michigan,Offensive Assistant
2006,27,College (NCAA D-II),Northern Michigan,Quarterbacks/Wide Receivers
2007,28,College (NCAA D-II),Ashland,Offensive Coordinator
2008,29,NFL,Houston Texans,Offensive Quality Control
2009,30,NFL,Houston Texans,Offensive Quality Control
2010,31,NFL,Washington Redskins,Quarterbacks
2011,32,NFL,Washington Redskins,Quarterbacks
2012,33,NFL,Washington Redskins,Quarterbacks
2013,34,NFL,Washington Redskins,Quarterbacks
2014,35,College (FBS),Notre Dame,Quarterbacks
2015,36,NFL,Atlanta Falcons,Quarterbacks
2016,37,NFL,Atlanta Falcons,Quarterbacks
2017,38,NFL,Los Angeles Rams,Offensive Coordinator
2018,39,NFL,Tennessee Titans,Offensive Coordinator
2019,40,NFL,Green Bay Packers,Head Coach
2020,41,NFL,Green Bay Packers,Head Coach
2021,42,NFL,Green Bay Packers,Head Coach
2022,43,NFL,Green Bay Packers,Head Coach
2023,44,NFL,Green Bay Packers,Head Coach
2024,45,NFL,Green Bay Packers,Head Coach
2025,46,NFL,Green Bay Packers,Head Coach
