,Year,Age,Level,Employer,Role
0,1944,35,College,Union College,Head Coach
1,1946,37,College,Union College,Head Coach
2,1947,38,NFL,Los Angeles Dons,Head Coach
3,1948,39,NFL,Los Angeles Dons,Line Coach
4,1949,40,NFL,New York Yankees,Offensive Line
5,1950,41,NFL,Los Angeles Rams,Line Coach
6,1951,42,College,Southern California,Line Coach
7,1952,43,College,Southern California,Line Coach
8,1953,44,College,Southern California,Line Coach
9,1954,45,College,Southern California,Line Coach
10,1955,46,College,Southern California,Line Coach
11,1956,47,College,Southern California,Line Coach
12,1957,48,College,Southern California,Line Coach
13,1958,49,College,Southern California,Line Coach
14,1959,50,College,Southern California,Line Coach
15,1960,51,College,Southern California,Line Coach
16,1961,52,College,Southern California,Line Coach
17,1962,53,College,Southern California,Line Coach
18,1963,54,College,Southern California,Line Coach
19,1964,55,College,Southern California,Line Coach
20,1965,56,College,Southern California,Line Coach
