Year,Age,Level,Employer,Role
1928,23,College,Pittsburgh,Freshman Coach
1929,24,College,Kansas,Line Coach
1930,25,College,Kansas,Line Coach
1931,26,College,Kansas,Line Coach
1932,27,College,Kansas,Line Coach
1933,28,College,Kansas,Line Coach
1934,29,College,Kansas,Line Coach
1935,30,College,Kansas,Line Coach
1936,31,College,Kansas,Line Coach
1937,32,College,Kansas,Line Coach
1938,33,College,Kansas,Line Coach
1939,34,College,Kansas,Line Coach
1941,36,NFL,Brooklyn Dodgers,Assistant Coach
1942,37,NFL,Brooklyn Dodgers,Head Coach
1947,42,College,Kansas,Line Coach
1948,43,College,Kansas,Line Coach
1949,44,College,Kansas,Line Coach
1950,45,College,Kansas,Line Coach
