Year,Age,Level,Employer,Role
1987,24,College (NCAA D-II),Fort Hays State,Graduate Assistant
1988,25,College (NCAA D-II),Fort Hays State,Graduate Assistant
1989,26,College (FBS),Pittsburgh,Graduate Assistant
1990,27,College (FBS),Pittsburgh,Graduate Assistant
1991,28,College (FBS),Pittsburgh,Graduate Assistant
1992,29,College (FBS),Pittsburgh,Wide Receivers
1993,30,NFL,Kansas City Chiefs,Offensive Quality Control
1994,31,NFL,Kansas City Chiefs,Offensive Quality Control
1995,32,NFL,Kansas City Chiefs,Quarterbacks
1996,33,NFL,Kansas City Chiefs,Quarterbacks
1997,34,NFL,Kansas City Chiefs,Quarterbacks
1998,35,NFL,Kansas City Chiefs,Quarterbacks
1999,36,NFL,Green Bay Packers,Quarterbacks
2000,37,NFL,New Orleans Saints,Offensive Coordinator
2001,38,NFL,New Orleans Saints,Offensive Coordinator
2002,39,NFL,New Orleans Saints,Offensive Coordinator
2003,40,NFL,New Orleans Saints,Offensive Coordinator
2004,41,NFL,New Orleans Saints,Offensive Coordinator
2005,42,NFL,San Francisco 49ers,Offensive Coordinator
2006,43,NFL,Green Bay Packers,Head Coach
2007,44,NFL,Green Bay Packers,Head Coach
2008,45,NFL,Green Bay Packers,Head Coach
2009,46,NFL,Green Bay Packers,Head Coach
2010,47,NFL,Green Bay Packers,Head Coach
2011,48,NFL,Green Bay Packers,Head Coach
2012,49,NFL,Green Bay Packers,Head Coach
2013,50,NFL,Green Bay Packers,Head Coach
2014,51,NFL,Green Bay Packers,Head Coach
2015,52,NFL,Green Bay Packers,Head Coach
2016,53,NFL,Green Bay Packers,Head Coach
2017,54,NFL,Green Bay Packers,Head Coach
2018,55,NFL,Green Bay Packers,Head Coach
2020,57,NFL,Dallas Cowboys,Head Coach
2021,58,NFL,Dallas Cowboys,Head Coach
2022,59,NFL,Dallas Cowboys,Head Coach
2023,60,NFL,Dallas Cowboys,Head Coach
2024,61,NFL,Dallas Cowboys,Head Coach
