Year,Age,Level,Employer,Role
1993,32,College,Concordia College,Offensive Line
1994,33,NFL,Tampa Bay Buccaneers,Quality Control
1995,34,NFL,Tampa Bay Buccaneers,Tight Ends
1996,35,NFL,Pittsburgh Steelers,Tight Ends
1997,36,NFL,Pittsburgh Steelers,Tight Ends
1998,37,NFL,Pittsburgh Steelers,Tight Ends
1999,38,NFL,Pittsburgh Steelers,Tight Ends
2000,39,NFL,Pittsburgh Steelers,Tight Ends
2001,40,NFL,Pittsburgh Steelers,Offensive Coordinator
2002,41,NFL,Pittsburgh Steelers,Offensive Coordinator
2003,42,NFL,Pittsburgh Steelers,Offensive Coordinator
2004,43,NFL,Buffalo Bills,Head Coach
2005,44,NFL,Buffalo Bills,Head Coach
2006,45,NFL,Miami Dolphins,Offensive Coordinator
2007,46,NFL,Miami Dolphins,Tight Ends
2008,47,NFL,Atlanta Falcons,Offensive Coordinator
2009,48,NFL,Atlanta Falcons,Offensive Coordinator
2010,49,NFL,Atlanta Falcons,Offensive Coordinator
2011,50,NFL,Atlanta Falcons,Offensive Coordinator
2012,51,NFL,Jacksonville Jaguars,Head Coach
2014,53,NFL,Tennessee Titans,Tight Ends
2015,54,NFL,Tennessee Titans,Asst. HC/TE/Interim Head Coach
2016,55,NFL,Tennessee Titans,Head Coach
2017,56,NFL,Tennessee Titans,Head Coach
2019,58,NFL,Atlanta Falcons,Tight Ends
