Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2009,NYJ,DC,32,11,16,7,5,20,17,20,1,1,3,5,7,32,31,29,28,21,1,1,8,11,8,11,4,4,7,1,1,13,1
2010,NYJ,DC,32,5,5,8,6,11,13,8,2,4,9,8,5,18,22,23,12,22,3,6,8,10,3,12,3,2,15,6,19,25,4
2011,NYJ,DC,32,13,19,15,15,25,13,29,16,22,12,30,30,17,21,9,23,25,5,20,5,21,13,27,7,4,8,5,2,10,7
2012,NYJ,DC,32,23,29,26,23,30,28,30,6,12,13,23,31,25,30,29,28,29,8,20,18,30,26,26,21,8,3,2,10,23,9
2013,BUF,DC,32,24,12,22,16,19,22,19,1,2,10,14,27,24,28,30,16,29,10,20,6,28,28,8,23,25,16,4,20,2,3
2014,CLE,HC,32,20,9,25,26,23,27,13,6,17,4,28,6,26,20,32,19,16,23,9,4,31,32,19,28,21,26,8,6,2,5
2015,CLE,HC,32,31,28,32,28,25,30,26,27,22,29,16,32,11,21,26,11,29,27,29,22,25,30,17,27,14,4,22,29,21,31
2018,GNB,DC,32,21,19,19,14,12,14,2,32,22,15,2,25,3,9,20,1,21,18,22,29,27,22,20,13,16,8,12,22,29,21
2019,GNB,DC,32,2,3,9,16,18,15,2,13,15,7,16,15,16,17,14,1,16,18,9,7,14,23,21,24,21,15,14,5,3,18
2020,GNB,DC,32,2,7,3,6,5,1,1,12,8,15,7,8,24,9,1,1,2,9,13,25,8,13,14,21,21,7,7,9,18,10
