,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1999,SEA,OC,31,9,12,12,26,23,12,19,24,24,29,25,27,22,16,6,11,13,23,8,6,26,25,10,21,30,26,17,7,1,8
1,2000,GNB,HC,31,13,20,14,16,15,11,21,22,23,17,17,26,2,8,12,15,15,15,14,19,10,8,2,9,29,25,19,29,6,15
2,2001,GNB,HC,31,4,5,6,5,6,5,9,24,21,14,13,14,21,3,2,11,2,12,5,2,7,16,11,22,1,30,15,4,9,1
3,2002,GNB,HC,32,1,1,6,9,12,6,14,14,12,18,11,13,8,10,1,17,16,12,12,1,12,21,11,31,2,12,3,22,3,3
4,2003,GNB,HC,32,8,14,2,8,4,4,25,5,3,5,2,13,27,16,1,26,5,17,11,10,6,10,6,16,19,31,23,9,8,10
5,2004,GNB,HC,32,7,27,11,3,3,5,18,16,10,26,12,8,1,3,3,23,5,25,23,31,6,14,13,27,32,20,25,32,31,25
6,2005,GNB,HC,32,26,31,20,11,18,22,32,24,30,17,31,26,2,7,17,32,16,7,19,26,27,23,7,18,17,2,1,22,26,14
7,2007,HOU,OC,32,14,31,17,21,14,12,31,22,22,16,24,27,19,11,12,28,5,24,22,22,13,19,25,27,10,22,25,22,30,23
8,2012,MIA,OC,32,18,24,20,28,27,27,17,14,17,11,19,24,24,26,30,10,22,21,7,28,18,13,8,10,25,27,27,6,27,19
9,2013,MIA,OC,32,14,18,18,28,27,26,17,29,26,27,17,5,10,20,15,20,28,21,8,19,31,24,18,18,29,20,16,3,10,12
