,Year,Age,Level,Employer,Role
0,1982,23,College (FBS),San Diego State,Graduate Assistant
1,1983,24,College (FBS),San Diego State,Linebackers
2,1984,25,College (FBS),San Diego State,Linebackers
3,1985,26,College (FBS),San Diego State,Linebackers
4,1986,27,College (FCS),Morehead State,Defensive Line
5,1987,28,College (FCS),Tennessee Tech,Defensive Line
6,1988,29,College (FCS),Tennessee Tech,Special Teams Coordinator
7,1989,30,College (FCS),Tennessee Tech,Special Teams Coordinator
8,1990,31,College (FCS),Tennessee Tech,Special Teams Coordinator
9,1991,32,College (FCS),Tennessee Tech,Special Teams Coordinator
10,1992,33,College (FCS),Tennessee Tech,Special Teams Coordinator
11,1993,34,College (FCS),Tennessee Tech,Special Teams Coordinator
12,1994,35,College (FCS),Tennessee Tech,Special Teams Coordinator
13,1995,36,College (FCS),Tennessee Tech,Special Teams Coordinator
14,1996,37,College (FCS),Tennessee Tech,Defensive Coordinator
15,1997,38,College (FCS),Tennessee Tech,Defensive Coordinator
16,1998,39,College (FCS),Tennessee Tech,Assistant Head Coach/Defensive Coordinator
17,1999,40,NFL,Baltimore Ravens,Defensive Assistant/Defensive Line
18,2000,41,NFL,Baltimore Ravens,Defensive Assistant/Defensive Line
19,2001,42,NFL,Baltimore Ravens,Defensive Assistant/Defensive Line
20,2002,43,NFL,Baltimore Ravens,Linebackers
21,2003,44,NFL,Jacksonville Jaguars,Defensive Coordinator
22,2004,45,NFL,Jacksonville Jaguars,Defensive Coordinator
23,2005,46,NFL,Jacksonville Jaguars,Defensive Coordinator
24,2006,47,NFL,Jacksonville Jaguars,Defensive Coordinator
25,2007,48,NFL,Jacksonville Jaguars,Defensive Coordinator
26,2008,49,NFL,Atlanta Falcons,Head Coach
27,2009,50,NFL,Atlanta Falcons,Head Coach
28,2010,51,NFL,Atlanta Falcons,Head Coach
29,2011,52,NFL,Atlanta Falcons,Head Coach
30,2012,53,NFL,Atlanta Falcons,Head Coach
31,2013,54,NFL,Atlanta Falcons,Head Coach
32,2014,55,NFL,Atlanta Falcons,Head Coach
33,2016,57,NFL,Tampa Bay Buccaneers,Defensive Coordinator
34,2017,58,NFL,Tampa Bay Buccaneers,Defensive Coordinator
35,2018,59,NFL,Tampa Bay Buccaneers,Defensive Coordinator
