Year,Age,Level,Employer,Role
1958,22,College,California,Defensive Line
1959,23,College,California,Defensive Line
1960,24,College,California,Defensive Line
1961,25,College,California,Defensive Line
1962,26,College,California,Defensive Line
1963,27,College,California,Defensive Line
1964,28,College,Stanford,Offensive Coordinator/OL
1965,29,College,Stanford,Offensive Coordinator/OL
1966,30,College,Stanford,Offensive Coordinator/OL
1967,31,College,Stanford,Offensive Coordinator/OL
1968,32,College,Stanford,Offensive Coordinator/OL
1969,33,College,Stanford,Offensive Coordinator/OL
1970,34,College,Stanford,Offensive Coordinator/OL
1971,35,College,Stanford,Offensive Coordinator/OL
1972,36,College,California,Head Coach
1973,37,College,California,Head Coach
1974,38,College,California,Head Coach
1975,39,College,California,Head Coach
1976,40,College,California,Head Coach
1977,41,College,California,Head Coach
1978,42,NFL,San Francisco 49ers,Offensive Line
1979,43,NFL,San Francisco 49ers,Offensive Line
1980,44,College,Illinois,Head Coach
1981,45,College,Illinois,Head Coach
1982,46,College,Illinois,Head Coach
1983,47,College,Illinois,Head Coach
1984,48,College,Illinois,Head Coach
1985,49,College,Illinois,Head Coach
1986,50,College,Illinois,Head Coach
1987,51,College,Illinois,Head Coach
1990,54,NFL,Los Angeles Raiders,Quarterbacks/OL
1991,55,NFL,Los Angeles Raiders,Quarterbacks/OL
1992,56,NFL,Los Angeles Raiders,Quarterbacks/OL
1993,57,NFL,Los Angeles Raiders,Quarterbacks/OL
1994,58,NFL,Los Angeles Raiders,Quarterbacks/OL
1995,59,NFL,Oakland Raiders,Head Coach
1996,60,NFL,Oakland Raiders,Head Coach
1997,61,NFL,St. Louis Rams,Offensive Assistant
1998,62,NFL,St. Louis Rams,Offensive Assistant
1999,63,NFL,St. Louis Rams,Offensive Assistant
