,Year,Age,Level,Employer,Role
0,1970,33,NFL,Miami Dolphins,Offensive Line
1,1971,34,NFL,Miami Dolphins,Offensive Line
2,1972,35,NFL,Miami Dolphins,Offensive Line
3,1973,36,NFL,Miami Dolphins,Offensive Line
4,1974,37,NFL,Miami Dolphins,Offensive Coordinator
5,1975,38,NFL,Miami Dolphins,Offensive Line
6,1976,39,NFL,San Francisco 49ers,Head Coach
7,1978,41,NFL,Detroit Lions,Head Coach
8,1979,42,NFL,Detroit Lions,Head Coach
9,1980,43,NFL,Detroit Lions,Head Coach
10,1981,44,NFL,Detroit Lions,Head Coach
11,1982,45,NFL,Detroit Lions,Head Coach
12,1983,46,NFL,Detroit Lions,Head Coach
13,1984,47,NFL,Detroit Lions,Head Coach
14,1993,56,College,Stanford,Offensive Line
15,1994,57,College,Stanford,Offensive Line
16,1995,58,NFL,Miami Dolphins,Offensive Line
