,Year,Age,Level,Employer,Role
0,1962,36,NFL,Houston Oilers,Defensive Coach
1,1963,37,NFL,Houston Oilers,Defensive Coach
2,1964,38,CFL,Edmonton Eskimos,Head Coach
3,1965,39,CFL,Edmonton Eskimos,Head Coach
4,1966,40,CFL,Edmonton Eskimos,Head Coach
5,1967,41,CFL,Edmonton Eskimos,Head Coach
6,1968,42,CFL,Edmonton Eskimos,Head Coach
7,1969,43,CFL,Edmonton Eskimos,Head Coach
8,1970,44,NFL,Minnesota Vikings,Defensive Backs
9,1971,45,NFL,Minnesota Vikings,Defensive Coordinator
10,1972,46,NFL,Minnesota Vikings,Defensive Coordinator
11,1973,47,NFL,Minnesota Vikings,Defensive Coordinator
12,1974,48,NFL,Minnesota Vikings,Defensive Coordinator
13,1975,49,NFL,Minnesota Vikings,Defensive Coordinator
14,1976,50,NFL,Minnesota Vikings,Defensive Coordinator
15,1977,51,NFL,Minnesota Vikings,Defensive Coordinator
16,1978,52,NFL,Chicago Bears,Head Coach
17,1979,53,NFL,Chicago Bears,Head Coach
18,1980,54,NFL,Chicago Bears,Head Coach
19,1981,55,NFL,Chicago Bears,Head Coach
20,1982,56,NFL,Dallas Cowboys,Quality Control
21,1983,57,NFL,Dallas Cowboys,Quality Control
22,1984,58,NFL,Dallas Cowboys,Quality Control
23,1985,59,NFL,Dallas Cowboys,Quality Control
24,1986,60,NFL,Dallas Cowboys,Quality Control
25,1987,61,NFL,Dallas Cowboys,Quality Control
26,1988,62,NFL,Dallas Cowboys,Quality Control
27,1989,63,NFL,Dallas Cowboys,Quality Control
