,Year,Age,Level,Employer,Role
0,1973,22,College,Kent State,Graduate Assistant
1,1974,23,College,Kent State,Graduate Assistant
2,1975,24,College,Kent State,Linebackers
3,1976,25,College,Kent State,Linebackers
4,1977,26,College,Syracuse,Outside Linebackers
5,1978,27,College,West Virginia,Secondary
6,1979,28,College,West Virginia,Secondary
7,1980,29,College,Ohio State,Secondary
8,1981,30,College,Ohio State,Secondary
9,1982,31,College,Navy,Secondary
10,1983,32,College,Michigan State,Defensive Coordinator/Secondary
11,1984,33,College,Michigan State,Defensive Coordinator/Secondary
12,1985,34,College,Michigan State,Defensive Coordinator/Secondary
13,1986,35,College,Michigan State,Defensive Coordinator/Secondary
14,1987,36,College,Michigan State,Defensive Coordinator/Secondary
15,1988,37,NFL,Houston Oilers,Secondary
16,1989,38,NFL,Houston Oilers,Secondary
17,1990,39,College,Toledo,Head Coach
18,1991,40,NFL,Cleveland Browns,Defensive Coordinator
19,1992,41,NFL,Cleveland Browns,Defensive Coordinator
20,1993,42,NFL,Cleveland Browns,Defensive Coordinator
21,1994,43,NFL,Cleveland Browns,Defensive Coordinator
22,1995,44,College,Michigan State,Head Coach
23,1996,45,College,Michigan State,Head Coach
24,1997,46,College,Michigan State,Head Coach
25,1998,47,College,Michigan State,Head Coach
26,1999,48,College,Michigan State,Head Coach
27,2000,49,College,LSU,Head Coach
28,2001,50,College,LSU,Head Coach
29,2002,51,College,LSU,Head Coach
30,2003,52,College,LSU,Head Coach
31,2004,53,College,LSU,Head Coach
32,2005,54,NFL,Miami Dolphins,Head Coach
33,2006,55,NFL,Miami Dolphins,Head Coach
34,2007,56,College,Alabama,Head Coach
35,2008,57,College,Alabama,Head Coach
36,2009,58,College,Alabama,Head Coach
37,2010,59,College,Alabama,Head Coach
38,2011,60,College,Alabama,Head Coach
39,2012,61,College,Alabama,Head Coach
40,2013,62,College,Alabama,Head Coach
41,2014,63,College,Alabama,Head Coach
42,2015,64,College,Alabama,Head Coach
43,2016,65,College,Alabama,Head Coach
44,2017,66,College,Alabama,Head Coach
45,2018,67,College,Alabama,Head Coach
46,2019,68,College,Alabama,Head Coach
47,2020,69,College,Alabama,Head Coach
48,2021,70,College,Alabama,Head Coach
49,2022,71,College,Alabama,Head Coach
50,2023,72,College,Alabama,Head Coach
