,Year,Age,Level,Employer,Role
0,1990,25,College (FBS),Michigan State,Tight Ends
1,1991,26,College (FBS),Michigan State,Tight Ends
2,1992,27,College (FBS),Michigan State,Tight Ends
3,1993,28,College (FBS),Michigan State,Tight Ends
4,1994,29,College (FBS),Michigan State,Tight Ends
5,1995,30,College (FBS),Michigan State,Tight Ends
6,1996,31,College (FBS),Michigan State,Tight Ends
7,1997,32,College (FBS),Michigan State,Tight Ends
8,1998,33,College (FBS),Stanford,Offensive Line
9,1999,34,NFL,Philadelphia Eagles,Tight Ends/Offensive Line
10,2000,35,NFL,Philadelphia Eagles,Tight Ends/Offensive Line
11,2001,36,NFL,Philadelphia Eagles,Tight Ends/Offensive Line
12,2002,37,NFL,Philadelphia Eagles,Quarterbacks
13,2003,38,NFL,Philadelphia Eagles,Quarterbacks
14,2004,39,NFL,Philadelphia Eagles,Quarterbacks
15,2005,40,NFL,Philadelphia Eagles,Quarterbacks
16,2006,41,NFL,Philadelphia Eagles,Quarterbacks
17,2007,42,NFL,Philadelphia Eagles,Quarterbacks
18,2008,43,NFL,Philadelphia Eagles,Quarterbacks
19,2009,44,NFL,St. Louis Rams,Offensive Coordinator
20,2010,45,NFL,St. Louis Rams,Offensive Coordinator
21,2011,46,NFL,Cleveland Browns,Head Coach
22,2012,47,NFL,Cleveland Browns,Head Coach
23,2013,48,NFL,Philadelphia Eagles,Offensive Coordinator
24,2014,49,NFL,Philadelphia Eagles,Offensive Coordinator
25,2015,50,NFL,Philadelphia Eagles,Offensive Coordinator/Interim Head Coach
26,2016,51,NFL,Minnesota Vikings,Tight Ends/Interim Offensive Coordinator
27,2017,52,NFL,Minnesota Vikings,Offensive Coordinator
28,2018,53,NFL,New York Giants,Head Coach
29,2019,54,NFL,New York Giants,Head Coach
30,2020,55,NFL,Denver Broncos,Offensive Coordinator
