Year,Age,Level,Employer,Role
1985,23,College,North Carolina,Graduate Assistant
1986,24,College,North Carolina,Graduate Assistant
1987,25,College,Army,Defensive Backs
1988,26,College,Kent State,Wide Receivers
1989,27,College,Kent State,Wide Receivers
1990,28,College,Kent State,Wide Receivers
1991,29,College,Kent State,Wide Receivers
1992,30,College,Army,Defensive Line
1993,31,College,Army,Defensive Line
1994,32,College,Army,Defensive Line
1995,33,College,Vanderbilt,Secondary
1996,34,College,Vanderbilt,Secondary
1997,35,College,Vanderbilt,Asst. Head Coach/Secondary
1998,36,NFL,Jacksonville Jaguars,Defensive Backs
1999,37,NFL,Jacksonville Jaguars,Defensive Backs
2000,38,NFL,Jacksonville Jaguars,Defensive Backs
2001,39,NFL,Jacksonville Jaguars,Defensive Backs
2002,40,NFL,Jacksonville Jaguars,Defensive Backs
2003,41,NFL,St. Louis Rams,Secondary
2004,42,NFL,St. Louis Rams,Secondary
2005,43,NFL,Chicago Bears,Defensive Backs
2006,44,NFL,Buffalo Bills,Defensive Coordinator
2007,45,NFL,Buffalo Bills,Defensive Coordinator
2008,46,NFL,Buffalo Bills,Defensive Coordinator
2009,47,NFL,Buffalo Bills,Defensive Coordinator/Interim HC
2010,48,NFL,New York Giants,Defensive Coordinator
2011,49,NFL,New York Giants,Defensive Coordinator
2012,50,NFL,New York Giants,Defensive Coordinator
2013,51,NFL,New York Giants,Defensive Coordinator
2014,52,NFL,New York Giants,Defensive Coordinator
2015,53,NFL,Washington Redskins,Defensive Backs
2016,54,NFL,Washington Redskins,Defensive Backs
2017,55,NFL,Jacksonville Jaguars,Defensive Backs
2018,56,NFL,Jacksonville Jaguars,Defensive Backs
2019,57,NFL,Carolina Panthers,Defensive Backs/Interim HC
