Year,Age,Level,Employer,Role
1913,33,College,Illinois,Assistant Coach
1914,34,College,Illinois,Assistant Coach
1915,35,College,Illinois,Assistant Coach
1916,36,College,Illinois,Assistant Coach
1917,37,College,Illinois,Assistant Coach
1918,38,College,Illinois,Assistant Coach
1919,39,College,Illinois,Assistant Coach
1920,40,College Prep,Lake Forest Academy,Head Coach
1921,41,College Prep,Lake Forest Academy,Head Coach
1922,42,College Prep,Lake Forest Academy,Head Coach
1923,43,College Prep,Lake Forest Academy,Head Coach
1924,44,College Prep,Lake Forest Academy,Head Coach
1925,45,College Prep,Lake Forest Academy,Head Coach
1926,46,College Prep,Lake Forest Academy,Head Coach
1927,47,College Prep,Lake Forest Academy,Head Coach
1928,48,College Prep,Lake Forest Academy,Head Coach
1929,49,College Prep,Lake Forest Academy,Head Coach
1930,50,NFL,Chicago Bears,Head Coach
1931,51,NFL,Chicago Bears,Head Coach
1932,52,NFL,Chicago Bears,Head Coach
1933,53,College,Lake Forest Coll.,Head Coach
1934,54,College,Lake Forest Coll.,Head Coach
1935,55,College,Lake Forest Coll.,Head Coach
1936,56,College,Lake Forest Coll.,Head Coach
1937,57,College,Lake Forest Coll.,Head Coach
1938,58,College,Lake Forest Coll.,Head Coach
1939,59,College,Lake Forest Coll.,Head Coach
1940,60,College,Lake Forest Coll.,Head Coach
1941,61,College,Lake Forest Coll.,Head Coach
1942,62,College,Lake Forest Coll.,Head Coach
1943,63,College,Lake Forest Coll.,Head Coach
1944,64,College,Lake Forest Coll.,Head Coach
1945,65,College,Lake Forest Coll.,Head Coach
1946,66,College,Lake Forest Coll.,Head Coach
1947,67,College,Lake Forest Coll.,Head Coach
1948,68,College,Lake Forest Coll.,Head Coach
