Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1936,33,BOS,NFL,12,7,5,0,.583,0.3,-1.0,1.3,1,0,1,.000,1,
1937,34,WAS,NFL,11,8,3,0,.727,3.0,3.5,-0.6,1,1,0,1.000,1,NFL Champions
1938,35,WAS,NFL,11,6,3,2,.667,-1.1,0.1,-1.1,,,,,2,
1939,36,WAS,NFL,11,8,2,1,.800,9.0,5.6,3.4,,,,,2,
1940,37,WAS,NFL,11,9,2,0,.818,6.5,7.3,-0.8,1,0,1,.000,1,
1941,38,WAS,NFL,11,6,5,0,.545,-1.4,-1.6,0.2,,,,,3,
1942,39,WAS,NFL,11,10,1,0,.909,7.6,4.9,2.7,1,1,0,1.000,1,NFL Champions
1946,43,NYY,AAFC,14,10,3,1,.769,4.9,-1.3,6.2,1,0,1,.000,1,
1947,44,NYY,AAFC,14,11,2,1,.846,8.7,5.3,3.4,1,0,1,.000,1,
1948,45,NYY,AAFC,4,1,3,0,.250,-2.3,-4.2,1.9,,,,,3,
1949,46,CHH,AAFC,12,4,8,0,.333,-5.9,-6.2,0.3,,,,,5,
