,Year,Age,Level,Employer,Role
0,1947,28,College,Nebraska,Assistant Coach
1,1948,29,College,Nebraska,Assistant Coach
2,1950,31,College,Nebraska,Assistant Coach
3,1951,32,College,Nebraska,Assistant Coach
4,1952,33,College,Nebraska,Assistant Coach
5,1953,34,College,Nebraska,Assistant Coach
6,1954,35,College,Nebraska,Assistant Coach
7,1955,36,CFL,Edmonton Eskimos,Assistant Coach
8,1956,37,CFL,Edmonton Eskimos,Assistant Coach
9,1957,38,CFL,Edmonton Eskimos,Assistant Coach
10,1958,39,NFL,Chicago Cardinals,Assistant Coach
11,1959,40,NFL,Chicago Cardinals,Assistant Coach
12,1960,41,NFL,St. Louis Cardinals,Offensive Line
13,1961,42,NFL,St. Louis Cardinals,Head Coach
14,1962,43,NFL,St. Louis Cardinals,Offensive Line
15,1963,44,NFL,St. Louis Cardinals,Offensive Line
16,1964,45,NFL,St. Louis Cardinals,Offensive Line
17,1965,46,NFL,St. Louis Cardinals,Offensive Line
18,1966,47,NFL,Los Angeles Rams,Offensive Line
19,1967,48,NFL,Los Angeles Rams,Offensive Line
20,1968,49,NFL,Los Angeles Rams,Offensive Line
21,1969,50,NFL,Los Angeles Rams,Offensive Coordinator
22,1970,51,NFL,Los Angeles Rams,Offensive Coordinator
23,1971,52,NFL,Cleveland Browns,Offensive Coordinator
24,1972,53,NFL,Cleveland Browns,Offensive Coordinator
25,1973,54,NFL,Los Angeles Rams,Offensive Line
26,1974,55,NFL,Los Angeles Rams,Offensive Line
27,1975,56,NFL,Los Angeles Rams,Offensive Line
28,1976,57,NFL,Los Angeles Rams,Offensive Line
29,1977,58,NFL,Los Angeles Rams,Offensive Coordinator
30,1978,59,NFL,Buffalo Bills,Offensive Coordinator
31,1979,60,NFL,Buffalo Bills,Offensive Coordinator
32,1980,61,NFL,Buffalo Bills,Offensive Coordinator
33,1981,62,NFL,Buffalo Bills,Offensive Coordinator
34,1982,63,NFL,Buffalo Bills,Offensive Coordinator
35,1983,64,NFL,Seattle Seahawks,Offensive Coordinator
36,1984,65,NFL,Seattle Seahawks,Offensive Coordinator
37,1985,66,NFL,Seattle Seahawks,Offensive Coordinator
