,Year,Age,Level,Employer,Role
0,1973,27,College,Purdue,Assistant
1,1974,28,College,Purdue,Assistant
2,1975,29,College,Purdue,Assistant
3,1976,30,College,Purdue,Assistant
4,1977,31,College,Illinois,Defensive Backs
5,1978,32,College,Northwestern,Head Coach
6,1979,33,College,Northwestern,Head Coach
7,1980,34,College,Northwestern,Head Coach
8,1981,35,CFL,Hamilton Tiger-Cats,Assistant
9,1982,36,NFL,Baltimore Colts,Linebackers
10,1983,37,NFL,Baltimore Colts,Linebackers
11,1984,38,NFL,Indianapolis Colts,Defensive Coordinator
12,1985,39,NFL,Indianapolis Colts,Linebackers
13,1986,40,NFL,Indianapolis Colts,Linebackers
14,1987,41,NFL,Indianapolis Colts,Linebackers
15,1988,42,NFL,Indianapolis Colts,Linebackers
16,1989,43,NFL,Indianapolis Colts,Linebackers
17,1990,44,NFL,Indianapolis Colts,Linebackers
18,1991,45,NFL,Indianapolis Colts,Defensive Coordinator/Interim HC
19,1992,46,NFL,Indianapolis Colts,Defensive Coordinator
20,1993,47,NFL,Indianapolis Colts,Defensive Coordinator
21,1994,48,NFL,Indianapolis Colts,Defensive Backs
22,1995,49,NFL,Cleveland Browns,Defensive Coordinator
23,1996,50,NFL,New Orleans Saints,Head Coach
24,1996,50,NFL,New Orleans Saints,Linebackers/Interim Head Coach
25,1997,51,NFL,New Orleans Saints,Linebackers/AHC
26,1998,52,NFL,New Orleans Saints,Defensive Backs/AHC
27,1999,53,NFL,New Orleans Saints,Linebackers/AHC
28,2000,54,NFL,New Orleans Saints,Defensive Backs/AHC
29,2001,55,NFL,New Orleans Saints,Defensive Backs/AHC
30,2002,56,NFL,New Orleans Saints,Defensive Coordinator
31,2003,57,NFL,New Orleans Saints,Defensive Coordinator
32,2004,58,NFL,New Orleans Saints,Defensive Coordinator
33,2005,59,NFL,New Orleans Saints,Defensive Coordinator
34,2006,60,NFL,St. Louis Rams,Linebackers/AHC
35,2007,61,NFL,St. Louis Rams,Linebackers/AHC
36,2008,62,NFL,St. Louis Rams,Defensive Coordinator
