,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1984,IND,DC,28,24,20,25,27,28,28,16,9,12,15,15,14,26,28,28,15,27,22,25,22,27,17,18,4,17,15,22,26,18,22
1,1991,IND,HC,28,28,19,28,28,28,28,14,27,28,28,27,15,8,27,27,11,28,20,26,20,28,28,27,25,18,1,4,23,18,26
2,,IND,DC,28,28,19,28,28,28,28,14,27,28,28,27,15,8,27,27,11,28,20,26,20,28,28,27,25,18,1,4,23,18,26
3,1992,IND,DC,28,12,15,21,25,24,26,20,25,28,21,28,7,4,8,25,27,20,21,16,8,26,26,24,24,9,13,11,5,10,14
4,1993,IND,DC,28,26,25,28,24,22,27,23,28,28,26,24,26,2,8,27,12,22,28,27,27,28,28,28,26,20,2,12,21,25,25
5,1995,CLE,DC,30,26,25,24,24,21,25,17,22,22,27,20,5,15,14,15,20,15,24,20,26,23,20,20,9,28,20,24,15,12,23
6,1996,NOR,HC,30,28,28,28,27,29,29,26,29,30,16,26,29,19,25,27,12,25,13,20,28,29,27,12,22,22,2,3,16,25,13
7,2002,NOR,DC,32,11,9,10,25,19,3,17,19,17,11,16,22,21,16,3,12,15,27,26,3,16,19,27,26,4,30,27,25,7,23
8,2003,NOR,DC,32,15,18,17,15,11,14,13,15,11,20,9,32,8,8,8,1,14,18,14,16,25,27,13,28,7,7,8,16,20,15
9,2004,NOR,DC,32,14,10,24,31,15,14,12,26,27,8,21,8,10,12,16,14,18,32,27,8,25,30,23,31,1,28,27,19,24,27
10,2005,NOR,DC,32,31,31,30,19,20,31,31,22,18,27,15,31,11,14,26,30,20,14,28,29,26,27,23,26,27,1,3,17,26,28
11,2008,STL,DC,32,30,23,31,28,27,30,27,22,25,30,25,20,15,26,30,26,28,28,31,13,28,29,30,29,5,2,19,14,21,31
