,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1978,KAN,DC,28,26,11,26,17,15,24,4,2,2,5,2,15,25,27,27,1,26,20,22,24,21,18,24,18,24,4,17,14,19,27
1,1979,KAN,DC,28,18,12,18,25,27,26,9,9,13,10,12,16,28,28,28,7,28,12,5,17,11,6,1,6,22,27,22,20,10,11
2,1980,KAN,DC,28,14,2,16,26,28,14,5,9,18,14,28,17,28,27,23,3,24,18,19,6,18,21,17,21,12,21,10,22,3,6
3,1981,KAN,DC,28,10,13,11,16,17,12,22,2,3,4,3,27,28,25,27,13,18,17,10,5,13,3,17,2,5,27,23,6,6,15
4,1982,KAN,DC,28,21,1,15,20,25,16,1,16,21,27,24,1,21,21,16,2,22,10,18,14,16,19,9,11,11,8,10,17,14,18
5,1983,NWE,DC,28,13,16,15,20,13,24,11,10,5,5,1,20,26,25,21,5,15,20,3,17,20,21,1,16,9,17,17,6,23,13
6,1984,NWE,DC,28,9,18,12,11,14,10,5,19,11,14,8,10,13,16,6,3,15,9,18,25,15,12,8,9,28,14,12,20,20,10
7,1985,NWE,DC,28,4,7,6,6,9,10,23,4,6,15,12,20,25,14,15,14,6,7,6,3,11,6,12,4,2,19,9,2,9,6
8,1986,NWE,DC,28,5,2,5,12,13,2,1,18,28,20,28,6,6,4,3,2,6,16,10,9,20,24,24,23,2,6,6,3,13,13
9,1987,NWE,DC,28,10,4,9,20,23,15,5,5,20,17,26,7,23,24,13,11,19,11,9,7,18,14,13,7,4,26,15,5,10,6
10,1988,KAN,DC,28,25,17,21,18,22,23,10,22,22,26,19,4,10,16,18,20,21,10,15,21,28,28,28,24,18,1,1,1,16,11
11,1989,PIT,DC,28,10,3,21,28,28,24,7,11,18,6,21,23,28,28,28,3,28,19,15,3,21,19,19,18,3,22,16,8,9,13
12,1990,NWE,HC,28,28,18,28,28,26,28,19,23,25,28,27,19,10,20,24,17,28,27,27,12,28,28,28,27,5,1,13,15,20,28
13,1992,NYG,DC,28,18,12,17,21,22,13,3,9,6,2,4,11,22,25,24,2,25,18,26,26,17,25,25,25,18,3,16,22,23,26
14,1996,ATL,DC,30,28,29,29,26,17,19,28,30,27,19,5,8,4,9,5,29,16,29,30,26,20,26,25,28,2,4,27,25,30,30
