,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2009,PHI,DC,32,5,2,10,11,11,5,7,28,22,15,14,11,10,10,10,7,11,12,19,3,10,9,11,11,6,28,17,24,4,5
1,2010,PHI,DC,32,8,5,9,5,2,3,12,15,5,4,1,21,11,9,8,9,12,12,21,5,17,15,16,14,13,18,14,29,3,14
2,2011,CAR,DC,32,23,13,20,11,7,5,11,14,3,1,1,5,23,13,13,21,10,28,27,17,21,25,29,25,14,6,24,25,20,32
3,2012,CAR,DC,32,18,16,18,8,12,18,10,11,9,3,9,17,26,16,24,8,5,10,18,18,12,14,12,18,8,15,13,13,23,12
4,2013,CAR,DC,32,3,6,4,12,26,18,4,7,11,13,16,2,30,29,15,13,20,2,2,6,1,2,1,12,15,17,6,3,5,5
5,2014,CAR,DC,32,19,13,23,12,16,19,13,8,7,21,13,19,19,19,15,8,22,10,21,10,9,16,21,27,6,20,11,15,14,10
6,2015,CAR,DC,32,1,1,1,5,11,1,8,1,2,1,10,15,27,24,3,8,9,6,6,1,3,4,17,7,2,32,11,7,1,2
7,2016,CAR,DC,32,25,21,25,25,19,15,27,7,10,10,20,23,20,21,19,28,20,21,26,7,6,6,10,9,9,28,29,20,4,20
8,2017,BUF,HC,32,11,7,21,29,29,22,6,4,6,15,14,7,31,31,27,8,27,26,18,9,26,29,32,25,19,29,20,2,6,19
9,2018,BUF,HC,32,22,23,28,18,30,30,30,6,9,11,21,15,28,31,32,31,31,2,18,8,22,16,25,10,7,2,1,8,7,3
10,2019,BUF,HC,32,8,10,10,9,24,23,11,6,8,18,14,5,24,26,24,15,21,3,2,10,7,10,9,18,14,16,4,2,8,3
11,2020,BUF,HC,32,1,20,11,10,4,3,22,21,24,22,20,29,7,2,2,5,2,21,16,12,4,8,20,19,7,24,27,11,13,19
