Year,Age,Level,Employer,Role
1925,34,NFL,Rochester Jeffersons,Head Coach
1928,37,College,Austin Coll.,Head Coach
1929,38,College,Austin Coll.,Head Coach
1930,39,College,Austin Coll.,Head Coach
1931,40,College,Austin Coll.,Head Coach
1932,41,College,Austin Coll.,Head Coach
1936,45,College,Rice,Backfield Coach
1937,46,College,Rice,Backfield Coach
1938,47,College,Rice,Backfield Coach
1939,48,College,Rice,Backfield Coach
1940,49,College,Rice,Backfield Coach
1941,50,College,Rice,Backfield Coach
1942,51,College,Rice,Backfield Coach
1943,52,College,Rice,Backfield Coach
1944,53,College,Rice,Backfield Coach
1945,54,College,Rice,Backfield Coach
1946,55,College,Rice,Backfield Coach
1947,56,College,Rice,Backfield Coach
1948,57,College,Rice,Backfield Coach
1949,58,College,Rice,Backfield Coach
1950,59,College,Rice,Backfield Coach
1951,60,College,Rice,Backfield Coach
1952,61,College,Rice,Backfield Coach
1953,62,College,Rice,Backfield Coach
1954,63,College,Rice,Backfield Coach
1955,64,College,Rice,Backfield Coach
1956,65,College,Rice,Backfield Coach
1957,66,College,Rice,Backfield Coach
1958,67,College,Rice,Backfield Coach
1959,68,College,Rice,Backfield Coach
1960,69,College,Rice,Backfield Coach
1961,70,College,Rice,Backfield Coach
1962,71,College,Rice,Backfield Coach
1963,72,College,Rice,Backfield Coach
1964,73,College,Rice,Backfield Coach
1965,74,College,Rice,Backfield Coach
1966,75,College,Rice,Backfield Coach
