Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2007,ARI,OC,32,14,22,15,13,12,7,27,25,29,22,30,14,2,5,4,31,8,17,27,15,9,9,21,10,17,27,28,25,10,17
2008,ARI,OC,32,12,17,18,11,4,3,24,32,32,18,31,30,2,2,3,16,6,19,28,5,19,16,13,11,1,16,22,32,17,24
2009,KAN,HC,32,28,16,27,28,25,23,15,15,11,25,8,11,18,25,21,17,29,30,29,12,30,31,26,31,6,8,22,20,16,28
,KAN,OC,32,28,16,27,28,25,23,15,15,11,25,8,11,18,25,21,17,29,30,29,12,30,31,26,31,6,8,22,20,16,28
2010,KAN,HC,32,8,5,13,10,12,14,2,1,1,12,4,2,29,30,10,3,23,14,11,23,10,14,12,19,20,26,17,13,19,5
2011,KAN,HC,32,21,18,29,21,27,31,20,5,15,30,28,21,26,25,30,23,24,11,12,13,29,26,20,14,28,1,6,15,6,24
2012,PIT,OC,32,15,24,14,4,21,22,26,20,26,27,28,27,12,14,8,12,17,1,6,25,6,2,6,4,18,6,1,7,27,2
2013,PIT,OC,32,14,20,14,17,20,16,14,25,27,25,29,16,13,12,9,15,12,13,14,27,13,21,27,21,15,18,9,7,29,10
2014,PIT,OC,32,6,16,10,4,2,7,10,15,16,21,16,19,6,2,6,5,2,18,18,23,3,6,8,25,16,11,27,28,25,29
2015,PIT,OC,32,8,15,7,9,3,4,22,24,16,6,8,2,16,3,16,29,2,21,11,3,6,5,2,6,4,27,30,19,6,17
2016,PIT,OC,32,5,9,5,7,7,10,11,16,14,16,15,1,9,5,4,18,8,12,10,14,4,13,18,19,9,23,16,5,15,11
2017,PIT,OC,32,1,14,7,3,3,8,11,15,20,15,25,5,6,3,4,23,4,5,7,13,4,10,22,27,23,2,5,8,9,11
2018,CLE,OC,32,16,8,20,26,13,20,22,15,14,11,11,8,11,14,11,26,13,30,21,2,28,28,31,24,1,30,25,3,5,10
