,Year,Age,Level,Employer,Role
0,1980,25,College,Minnesota,Defensive Backs
1,1981,26,NFL,Pittsburgh Steelers,Defensive Assistant
2,1982,27,NFL,Pittsburgh Steelers,Defensive Backs
3,1983,28,NFL,Pittsburgh Steelers,Defensive Backs
4,1984,29,NFL,Pittsburgh Steelers,Defensive Coordinator
5,1985,30,NFL,Pittsburgh Steelers,Defensive Coordinator
6,1986,31,NFL,Pittsburgh Steelers,Defensive Coordinator
7,1987,32,NFL,Pittsburgh Steelers,Defensive Coordinator
8,1988,33,NFL,Pittsburgh Steelers,Defensive Coordinator
9,1989,34,NFL,Kansas City Chiefs,Defensive Backs
10,1990,35,NFL,Kansas City Chiefs,Defensive Backs
11,1991,36,NFL,Kansas City Chiefs,Defensive Backs
12,1992,37,NFL,Minnesota Vikings,Defensive Coordinator
13,1993,38,NFL,Minnesota Vikings,Defensive Coordinator
14,1994,39,NFL,Minnesota Vikings,Defensive Coordinator
15,1995,40,NFL,Minnesota Vikings,Defensive Coordinator
16,1996,41,NFL,Tampa Bay Buccaneers,Head Coach
17,1997,42,NFL,Tampa Bay Buccaneers,Head Coach
18,1998,43,NFL,Tampa Bay Buccaneers,Head Coach
19,1999,44,NFL,Tampa Bay Buccaneers,Head Coach
20,2000,45,NFL,Tampa Bay Buccaneers,Head Coach
21,2001,46,NFL,Tampa Bay Buccaneers,Head Coach
22,2002,47,NFL,Indianapolis Colts,Head Coach
23,2003,48,NFL,Indianapolis Colts,Head Coach
24,2004,49,NFL,Indianapolis Colts,Head Coach
25,2005,50,NFL,Indianapolis Colts,Head Coach
26,2006,51,NFL,Indianapolis Colts,Head Coach
27,2007,52,NFL,Indianapolis Colts,Head Coach
28,2008,53,NFL,Indianapolis Colts,Head Coach
