,Year,Age,Level,Employer,Role
0,1962,33,AFL,Oakland Raiders,Defensive Line
1,1963,34,AFL,New York Jets,Defensive Line
2,1964,35,AFL,New York Jets,Defensive Line
3,1965,36,AFL,New York Jets,Defensive Line
4,1966,37,AFL,New York Jets,Defensive Line
5,1967,38,AFL,New York Jets,Linebackers/Defensive Backs
6,1968,39,AFL,New York Jets,Linebackers/Defensive Backs
7,1969,40,AFL,New York Jets,Linebackers/Defensive Backs
8,1970,41,NFL,New York Jets,Linebackers/Defensive Backs
9,1971,42,NFL,New York Jets,Linebackers/Defensive Backs
10,1972,43,NFL,Philadelphia Eagles,Defensive Coordinator
11,1973,44,NFL,Philadelphia Eagles,Defensive Coordinator
12,1974,45,NFL,Philadelphia Eagles,Defensive Coordinator
13,1975,46,NFL,Philadelphia Eagles,Defensive Coordinator
14,1976,47,NFL,New York Jets,Defensive Coordinator
15,1977,48,NFL,New York Jets,Head Coach
16,1978,49,NFL,New York Jets,Head Coach
17,1979,50,NFL,New York Jets,Head Coach
18,1980,51,NFL,New York Jets,Head Coach
19,1981,52,NFL,New York Jets,Head Coach
20,1982,53,NFL,New York Jets,Head Coach
21,1984,55,USFL,New Jersey Generals,Head Coach
22,1985,56,USFL,New Jersey Generals,Head Coach
