Year,Age,Level,Employer,Role
1928,21,High School,Van Wert HS (OH),Head Coach
1929,22,High School,Van Wert HS (OH),Head Coach
1930,23,High School,McGuffey HS (OH),Head Coach
1931,24,High School,McGuffey HS (OH),Head Coach
1932,25,High School,McGuffey HS (OH),Head Coach
1933,26,High School,McGuffey HS (OH),Head Coach
1934,27,High School,McGuffey HS (OH),Head Coach
1935,28,High School,McGuffey HS (OH),Head Coach
1936,29,High School,McGuffey HS (OH),Head Coach
1937,30,High School,McGuffey HS (OH),Head Coach
1938,31,High School,McGuffey HS (OH),Head Coach
1939,32,High School,McGuffey HS (OH),Head Coach
1940,33,High School,McGuffey HS (OH),Head Coach
1941,34,High School,McGuffey HS (OH),Head Coach
1942,35,High School,McGuffey HS (OH),Head Coach
1943,36,U.S. Navy,Naval Station Great Lakes,Assistant Coach
1944,37,U.S. Navy,Naval Station Great Lakes,Assistant Coach
1945,38,U.S. Navy,Naval Station Great Lakes,Assistant Coach
1946,39,College,Brown University,Assistant Coach
1947,40,College,Washington Univ. (MO),Head Coach
1948,41,College,Washington Univ. (MO),Head Coach
1949,42,AAFC,Cleveland Browns,Tackles
1950,43,NFL,Cleveland Browns,Tackles
1951,44,NFL,Cleveland Browns,Tackles
1952,45,NFL,Cleveland Browns,Tackles
1953,46,NFL,Cleveland Browns,Tackles
1954,47,NFL,Baltimore Colts,Head Coach
1955,48,NFL,Baltimore Colts,Head Coach
1956,49,NFL,Baltimore Colts,Head Coach
1957,50,NFL,Baltimore Colts,Head Coach
1958,51,NFL,Baltimore Colts,Head Coach
1959,52,NFL,Baltimore Colts,Head Coach
1960,53,NFL,Baltimore Colts,Head Coach
1961,54,NFL,Baltimore Colts,Head Coach
1962,55,NFL,Baltimore Colts,Head Coach
1963,56,AFL,New York Jets,Head Coach
1964,57,AFL,New York Jets,Head Coach
1965,58,AFL,New York Jets,Head Coach
1966,59,AFL,New York Jets,Head Coach
1967,60,AFL,New York Jets,Head Coach
1968,61,AFL,New York Jets,Head Coach
1969,62,AFL,New York Jets,Head Coach
1970,63,NFL,New York Jets,Head Coach
1971,64,NFL,New York Jets,Head Coach
1972,65,NFL,New York Jets,Head Coach
1973,66,NFL,New York Jets,Head Coach
1975,68,College,Columbia,Quarterbacks
