,Year,Age,Level,Employer,Role
0,2008,25,College,Texas A&M,Graduate Assistant
1,2009,26,College,Texas A&M,Graduate Assistant
2,2010,27,College,Texas A&M,Graduate Assistant
3,2011,28,College,Texas A&M,Graduate Assistant
4,2012,29,NFL,Miami Dolphins,Asst. QB Coach
5,2013,30,NFL,Miami Dolphins,QB Coach
6,2014,31,NFL,Miami Dolphins,QB Coach
7,2015,32,NFL,Miami Dolphins,QB Coach/Interim OC
8,2016,33,College,Cincinnati,Offensive Coordinator/QB
9,2017,34,NFL,Los Angeles Rams,Assistant Wide Receivers
10,2018,35,NFL,Los Angeles Rams,Quarterbacks
11,2019,36,NFL,Cincinnati Bengals,Head Coach
12,2020,37,NFL,Cincinnati Bengals,Head Coach
13,2021,38,NFL,Cincinnati Bengals,Head Coach
14,2022,39,NFL,Cincinnati Bengals,Head Coach
15,2023,40,NFL,Cincinnati Bengals,Head Coach
16,2024,41,NFL,Cincinnati Bengals,Head Coach
17,2025,42,NFL,Cincinnati Bengals,Head Coach
