,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,akr,-1.419612548576545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bff,-0.7417620819983857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cbd,-0.06391161542022636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,chi,-1.0400162872927756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cht,0.09877249655853186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,col,1.6713855790198613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,crd,-0.44350787670399555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,cti,-0.36216582071461645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,day,-0.1452536714096055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,dhr,0.6139388511579329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ham,2.5661481949030316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,mun,-0.3892798393777428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,rch,-0.06391161542022636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,rii,-0.28082376472523735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
