Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
bba,358.0,4812.0,911.0,5.3,40.0,26.0,207.0,211.0,414.0,2829.0,23.0,14.0,6.3,95.0,463.0,1983.0,25.0,4.3,98.0,76.0,616.0,14.0,,,,,,,,,,,,,,,,,
bcl,327.0,4960.0,898.0,5.5,36.0,14.0,224.0,177.0,364.0,2438.0,18.0,22.0,6.2,84.0,504.0,2522.0,21.0,5.0,125.0,73.0,556.0,15.0,,,,,,,,,,,,,,,,,
bda,387.0,5131.0,896.0,5.7,42.0,17.0,226.0,160.0,296.0,1985.0,23.0,25.0,6.4,72.0,585.0,3146.0,30.0,5.4,146.0,82.0,775.0,8.0,,,,,,,,,,,,,,,,,
byk,372.0,4783.0,867.0,5.5,42.0,24.0,244.0,161.0,356.0,2463.0,27.0,18.0,6.9,100.0,511.0,2320.0,19.0,4.5,124.0,104.0,929.0,20.0,,,,,,,,,,,,,,,,,
chi,151.0,2900.0,720.0,4.0,46.0,16.0,174.0,139.0,336.0,1646.0,12.0,30.0,4.9,70.0,384.0,1254.0,8.0,3.3,71.0,72.0,633.0,33.0,,,,,,,,,,,,,,,,,
cle,190.0,3616.0,811.0,4.5,40.0,16.0,171.0,159.0,354.0,2097.0,14.0,24.0,5.6,74.0,436.0,1519.0,10.0,3.5,84.0,76.0,657.0,13.0,,,,,,,,,,,,,,,,,
cra,439.0,5087.0,874.0,5.8,33.0,14.0,217.0,155.0,318.0,2473.0,23.0,19.0,7.4,81.0,538.0,2614.0,33.0,4.9,117.0,89.0,707.0,19.0,,,,,,,,,,,,,,,,,
crd,226.0,4036.0,744.0,5.4,47.0,24.0,190.0,159.0,336.0,2520.0,22.0,23.0,7.5,94.0,408.0,1516.0,8.0,3.7,85.0,87.0,743.0,11.0,,,,,,,,,,,,,,,,,
det,407.0,4558.0,797.0,5.7,33.0,19.0,253.0,161.0,302.0,2176.0,25.0,14.0,7.2,103.0,495.0,2382.0,27.0,4.8,135.0,94.0,894.0,15.0,,,,,,,,,,,,,,,,,
gnb,290.0,3779.0,797.0,4.7,44.0,15.0,222.0,134.0,260.0,1626.0,13.0,29.0,6.3,74.0,537.0,2153.0,21.0,4.0,132.0,91.0,771.0,16.0,,,,,,,,,,,,,,,,,
lda,305.0,5024.0,887.0,5.7,40.0,16.0,209.0,164.0,344.0,2568.0,24.0,24.0,6.9,70.0,514.0,2456.0,14.0,4.8,125.0,76.0,805.0,14.0,,,,,,,,,,,,,,,,,
naa,301.0,4782.0,839.0,5.7,43.0,16.0,192.0,160.0,341.0,2767.0,19.0,27.0,7.4,85.0,467.0,2015.0,18.0,4.3,94.0,89.0,733.0,13.0,,,,,,,,,,,,,,,,,
nyg,388.0,4574.0,792.0,5.8,50.0,11.0,227.0,157.0,311.0,2406.0,25.0,39.0,7.7,106.0,481.0,2168.0,26.0,4.5,109.0,104.0,880.0,12.0,,,,,,,,,,,,,,,,,
phi,156.0,3160.0,714.0,4.4,39.0,16.0,158.0,139.0,338.0,1951.0,14.0,23.0,5.8,83.0,376.0,1209.0,5.0,3.2,62.0,87.0,860.0,13.0,,,,,,,,,,,,,,,,,
pit,243.0,3635.0,713.0,5.1,31.0,18.0,188.0,149.0,279.0,1987.0,18.0,13.0,7.1,83.0,434.0,1648.0,7.0,3.8,90.0,106.0,927.0,15.0,,,,,,,,,,,,,,,,,
ram,269.0,3713.0,750.0,5.0,43.0,24.0,204.0,164.0,309.0,2143.0,20.0,19.0,6.9,97.0,441.0,1570.0,13.0,3.6,90.0,77.0,719.0,17.0,,,,,,,,,,,,,,,,,
sfo,248.0,4521.0,868.0,5.2,52.0,20.0,203.0,184.0,374.0,2615.0,23.0,32.0,6.5,90.0,468.0,1906.0,11.0,4.1,100.0,72.0,567.0,13.0,,,,,,,,,,,,,,,,,
was,287.0,3911.0,771.0,5.1,42.0,18.0,233.0,135.0,289.0,1953.0,20.0,24.0,6.8,93.0,482.0,1958.0,17.0,4.1,114.0,81.0,771.0,26.0,,,,,,,,,,,,,,,,,
