,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,389,5320.0,936.0,5.7,30.0,16,302.0,248,389,3085,30,14,7.4,157.0,518,2235,17,4.3,129.0,63,628,16.0,,,,,,,,,,,,,,,,,
1,buf,367,4225.0,876.0,4.8,35.0,13,210.0,143,340,2204,19,22,5.9,103.0,505,2021,15,4.0,85.0,66,540,22.0,,,,,,,,,,,,,,,,,
2,chi,333,4371.0,790.0,5.5,30.0,12,240.0,172,333,2667,25,18,7.3,102.0,427,1704,17,4.0,102.0,91,896,36.0,,,,,,,,,,,,,,,,,
3,cin,329,4717.0,916.0,5.1,19.0,9,275.0,212,411,2620,25,10,5.9,140.0,473,2097,13,4.4,116.0,62,632,19.0,,,,,,,,,,,,,,,,,
4,cle,273,4090.0,888.0,4.6,46.0,14,259.0,213,439,2248,19,32,4.8,130.0,423,1842,11,4.4,110.0,61,620,19.0,,,,,,,,,,,,,,,,,
5,clt,144,3377.0,852.0,4.0,41.0,12,207.0,224,432,2038,9,29,4.3,119.0,375,1339,6,3.6,71.0,72,799,17.0,,,,,,,,,,,,,,,,,
6,crd,289,4419.0,866.0,5.1,21.0,8,238.0,210,399,2861,23,13,6.5,131.0,423,1558,10,3.7,90.0,71,728,17.0,,,,,,,,,,,,,,,,,
7,dal,186,3633.0,848.0,4.3,41.0,15,202.0,220,428,2438,20,26,5.1,123.0,369,1195,2,3.2,61.0,54,657,18.0,,,,,,,,,,,,,,,,,
8,den,404,5024.0,917.0,5.5,32.0,12,251.0,217,429,3163,25,20,6.9,145.0,457,1861,20,4.1,94.0,64,750,12.0,,,,,,,,,,,,,,,,,
9,det,241,3837.0,830.0,4.6,36.0,12,214.0,157,337,2157,12,24,5.8,105.0,457,1680,13,3.7,92.0,76,658,17.0,,,,,,,,,,,,,,,,,
10,gnb,227,3596.0,831.0,4.3,34.0,17,213.0,157,327,1796,14,17,5.1,92.0,476,1800,11,3.8,105.0,60,541,16.0,,,,,,,,,,,,,,,,,
11,kan,170,4089.0,871.0,4.7,49.0,12,215.0,214,461,2823,14,37,5.6,140.0,365,1266,4,3.5,52.0,62,564,23.0,,,,,,,,,,,,,,,,,
12,mia,355,4884.0,808.0,6.0,40.0,18,240.0,179,342,2712,23,22,7.5,112.0,445,2172,19,4.9,116.0,70,655,12.0,,,,,,,,,,,,,,,,,
13,min,242,3758.0,791.0,4.8,38.0,22,210.0,185,315,1855,16,16,5.2,98.0,432,1903,8,4.4,98.0,74,875,14.0,,,,,,,,,,,,,,,,,
14,nor,327,4291.0,839.0,5.1,42.0,26,228.0,153,366,2186,25,16,5.5,109.0,439,2105,13,4.8,97.0,74,757,22.0,,,,,,,,,,,,,,,,,
15,nwe,406,4415.0,922.0,4.8,40.0,17,237.0,200,416,2590,20,23,5.8,123.0,479,1825,22,3.8,86.0,70,874,28.0,,,,,,,,,,,,,,,,,
16,nyg,325,4341.0,810.0,5.4,40.0,14,263.0,191,364,2340,18,26,6.1,121.0,425,2001,22,4.7,125.0,62,579,17.0,,,,,,,,,,,,,,,,,
17,nyj,280,3363.0,814.0,4.1,43.0,15,178.0,187,403,2168,17,28,4.9,104.0,368,1195,9,3.2,59.0,65,695,15.0,,,,,,,,,,,,,,,,,
18,oti,248,3375.0,854.0,4.0,30.0,10,198.0,158,359,1671,13,20,4.3,96.0,462,1704,9,3.7,89.0,54,526,13.0,,,,,,,,,,,,,,,,,
19,phi,351,4514.0,863.0,5.2,20.0,7,256.0,182,327,2373,20,13,6.8,111.0,515,2141,18,4.2,128.0,76,843,17.0,,,,,,,,,,,,,,,,,
20,pit,397,4785.0,882.0,5.4,26.0,9,244.0,220,413,3161,29,17,7.2,131.0,441,1624,14,3.7,92.0,79,844,21.0,,,,,,,,,,,,,,,,,
21,rai,233,4061.0,937.0,4.3,40.0,15,215.0,189,446,2257,13,25,4.6,113.0,442,1804,12,4.1,83.0,90,932,19.0,,,,,,,,,,,,,,,,,
22,ram,200,3118.0,801.0,3.9,44.0,19,190.0,158,353,1813,12,25,4.5,104.0,397,1305,9,3.3,66.0,88,806,20.0,,,,,,,,,,,,,,,,,
23,sdg,310,4333.0,893.0,4.9,35.0,15,225.0,217,430,2692,20,20,5.9,118.0,439,1641,13,3.7,90.0,63,692,17.0,,,,,,,,,,,,,,,,,
24,sfo,310,4020.0,896.0,4.5,31.0,11,250.0,201,416,2244,19,20,5.0,124.0,445,1776,12,4.0,111.0,71,646,15.0,,,,,,,,,,,,,,,,,
25,was,358,4683.0,877.0,5.3,35.0,14,259.0,202,359,2489,16,21,6.6,118.0,497,2194,18,4.4,122.0,82,879,19.0,,,,,,,,,,,,,,,,,
