,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,269,4011.0,837.0,4.8,34.0,19,231.0,157,296,1919,13,15,5.7,101.0,500,2092,16,4.2,113.0,73,650,17.0,,,,,,,,,,,,,,,,,
1,buf,257,3733.0,877.0,4.3,39.0,15,221.0,164,316,1601,16,24,4.4,98.0,512,2132,11,4.2,104.0,87,900,19.0,,,,,,,,,,,,,,,,,
2,chi,225,3468.0,773.0,4.5,35.0,22,190.0,78,205,1108,9,13,4.7,54.0,536,2360,15,4.4,124.0,74,574,12.0,,,,,,,,,,,,,,,,,
3,cin,299,4317.0,899.0,4.8,29.0,18,255.0,219,384,2321,10,11,5.7,122.0,491,1996,16,4.1,112.0,76,738,21.0,,,,,,,,,,,,,,,,,
4,cle,268,3709.0,817.0,4.5,28.0,9,215.0,158,337,1916,13,19,5.3,101.0,453,1793,13,4.0,102.0,57,536,12.0,,,,,,,,,,,,,,,,,
5,clt,235,4187.0,868.0,4.8,34.0,22,251.0,203,381,2293,15,12,5.6,124.0,462,1894,10,4.1,97.0,58,605,30.0,,,,,,,,,,,,,,,,,
6,crd,193,3267.0,754.0,4.3,39.0,16,181.0,171,363,2038,11,23,5.2,102.0,361,1229,9,3.4,68.0,64,582,11.0,,,,,,,,,,,,,,,,,
7,dal,319,4466.0,897.0,5.0,38.0,15,256.0,196,367,2342,16,23,5.9,126.0,499,2124,17,4.3,118.0,90,841,12.0,,,,,,,,,,,,,,,,,
8,den,325,4472.0,831.0,5.4,34.0,11,237.0,201,384,2634,19,23,6.2,132.0,409,1838,17,4.5,87.0,89,827,18.0,,,,,,,,,,,,,,,,,
9,det,339,4155.0,804.0,5.2,25.0,7,240.0,155,305,2134,19,18,6.4,97.0,473,2021,20,4.3,120.0,48,417,23.0,,,,,,,,,,,,,,,,,
10,gnb,304,3539.0,798.0,4.4,19.0,10,195.0,101,237,1412,7,9,5.6,72.0,544,2127,17,3.9,109.0,63,610,14.0,,,,,,,,,,,,,,,,,
11,kan,287,3953.0,894.0,4.4,32.0,12,245.0,217,384,2038,20,20,4.9,116.0,476,1915,6,4.0,118.0,69,653,11.0,,,,,,,,,,,,,,,,,
12,mia,385,5036.0,893.0,5.6,28.0,16,291.0,144,259,2076,17,12,7.4,102.0,613,2960,26,4.8,170.0,68,714,19.0,,,,,,,,,,,,,,,,,
13,min,301,4263.0,883.0,4.8,32.0,19,235.0,218,385,2523,19,13,6.1,127.0,472,1740,11,3.7,95.0,51,440,13.0,,,,,,,,,,,,,,,,,
14,nor,215,3664.0,829.0,4.4,37.0,16,226.0,230,449,2434,18,21,4.9,123.0,337,1230,5,3.6,83.0,69,585,20.0,,,,,,,,,,,,,,,,,
15,nwe,192,3659.0,842.0,4.3,38.0,10,236.0,198,412,2127,10,28,4.7,126.0,386,1532,13,4.0,86.0,66,761,24.0,,,,,,,,,,,,,,,,,
16,nyg,331,4483.0,878.0,5.1,29.0,14,265.0,206,344,2461,20,15,7.0,124.0,524,2022,16,3.9,120.0,57,512,21.0,,,,,,,,,,,,,,,,,
17,nyj,367,4787.0,825.0,5.8,31.0,9,250.0,172,347,2777,21,22,7.6,117.0,461,2010,18,4.4,106.0,74,719,27.0,,,,,,,,,,,,,,,,,
18,oti,164,3191.0,817.0,3.9,33.0,10,183.0,181,375,1673,10,23,4.0,88.0,397,1518,7,3.8,80.0,66,581,15.0,,,,,,,,,,,,,,,,,
19,phi,145,3463.0,826.0,4.2,38.0,18,203.0,184,375,2070,10,20,4.8,110.0,398,1393,2,3.5,78.0,76,690,15.0,,,,,,,,,,,,,,,,,
20,pit,343,4231.0,853.0,5.0,26.0,14,228.0,156,324,1711,12,12,4.8,79.0,497,2520,22,5.1,131.0,81,728,18.0,,,,,,,,,,,,,,,,,
21,rai,365,4745.0,915.0,5.2,32.0,17,297.0,198,370,2369,23,15,6.0,122.0,521,2376,20,4.6,145.0,84,757,30.0,,,,,,,,,,,,,,,,,
22,ram,291,4355.0,859.0,5.1,31.0,9,238.0,184,371,2146,13,22,5.5,108.0,472,2209,17,4.7,113.0,78,648,17.0,,,,,,,,,,,,,,,,,
23,sdg,264,4299.0,904.0,4.8,48.0,20,262.0,192,377,2304,15,28,5.8,116.0,504,1995,12,4.0,123.0,87,789,23.0,,,,,,,,,,,,,,,,,
24,sfo,353,4351.0,847.0,5.1,37.0,13,234.0,217,380,2735,27,24,6.8,129.0,445,1616,11,3.6,87.0,73,664,18.0,,,,,,,,,,,,,,,,,
25,was,336,4275.0,808.0,5.3,26.0,11,235.0,159,284,2193,21,15,7.4,106.0,513,2082,17,4.1,110.0,78,721,19.0,,,,,,,,,,,,,,,,,
