Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
atl,348,5055.0,994.0,5.1,39.0,21,273.0,293,528,3461,21,18,6.0,168.0,420,1594,11,3.8,84.0,125,1004,21.0,,,,,,,,,,,,,,,,,
buf,428,5276.0,931.0,5.7,21.0,10,302.0,263,425,3196,28,11,7.1,161.0,479,2080,20,4.3,123.0,92,683,18.0,,,,,,,,,,,,,,,,,
chi,348,4980.0,1024.0,4.9,26.0,14,295.0,229,430,2544,14,12,5.4,134.0,551,2436,22,4.4,142.0,75,615,19.0,,,,,,,,,,,,,,,,,
cin,360,5063.0,943.0,5.4,35.0,12,277.0,237,425,2943,25,23,6.4,151.0,484,2120,16,4.4,107.0,83,627,19.0,,,,,,,,,,,,,,,,,
cle,228,4367.0,960.0,4.5,46.0,23,259.0,301,573,3147,13,23,5.1,167.0,345,1220,10,3.5,74.0,122,922,18.0,,,,,,,,,,,,,,,,,
clt,281,4155.0,874.0,4.8,31.0,10,245.0,269,488,2873,22,21,5.3,142.0,335,1282,9,3.8,81.0,79,590,22.0,,,,,,,,,,,,,,,,,
crd,268,4745.0,934.0,5.1,32.0,14,270.0,238,439,2833,16,18,5.9,135.0,452,1912,13,4.2,115.0,96,883,20.0,,,,,,,,,,,,,,,,,
dal,244,4081.0,911.0,4.5,33.0,9,250.0,254,475,2581,12,24,5.0,135.0,393,1500,13,3.8,88.0,98,729,27.0,,,,,,,,,,,,,,,,,
den,331,5213.0,1035.0,5.0,32.0,14,323.0,305,527,3341,15,18,5.8,170.0,462,1872,19,4.1,126.0,108,775,27.0,,,,,,,,,,,,,,,,,
det,373,4977.0,870.0,5.7,36.0,16,278.0,242,460,3050,24,20,6.1,152.0,366,1927,19,5.3,112.0,88,711,14.0,,,,,,,,,,,,,,,,,
gnb,271,4675.0,953.0,4.9,43.0,22,276.0,302,541,3306,20,21,5.5,183.0,350,1369,5,3.9,72.0,84,669,21.0,,,,,,,,,,,,,,,,,
kan,369,5215.0,975.0,5.3,19.0,14,280.0,260,449,3267,23,5,6.9,153.0,504,1948,11,3.9,104.0,111,886,23.0,,,,,,,,,,,,,,,,,
mia,336,5047.0,975.0,5.2,27.0,15,303.0,310,539,3512,21,12,6.3,190.0,420,1535,13,3.7,90.0,64,486,23.0,,,,,,,,,,,,,,,,,
min,351,5034.0,1001.0,5.0,37.0,13,288.0,265,497,3167,25,24,5.8,164.0,455,1867,10,4.1,106.0,83,565,18.0,,,,,,,,,,,,,,,,,
nor,274,4476.0,931.0,4.8,39.0,16,253.0,226,447,2626,15,23,5.6,133.0,464,1850,14,4.0,107.0,108,829,13.0,,,,,,,,,,,,,,,,,
nwe,181,4163.0,955.0,4.4,36.0,16,239.0,274,514,2765,14,20,4.8,156.0,383,1398,4,3.7,65.0,99,744,18.0,,,,,,,,,,,,,,,,,
nyg,335,4805.0,968.0,5.0,14.0,9,273.0,231,398,2756,18,5,6.5,135.0,541,2049,17,3.8,120.0,83,655,18.0,,,,,,,,,,,,,,,,,
nyj,295,4886.0,967.0,5.1,24.0,13,295.0,246,451,2759,14,11,5.6,143.0,476,2127,16,4.5,128.0,101,848,24.0,,,,,,,,,,,,,,,,,
oti,405,6222.0,1006.0,6.2,36.0,21,376.0,399,639,4805,37,15,7.1,251.0,328,1417,10,4.3,97.0,135,1009,28.0,,,,,,,,,,,,,,,,,
phi,396,5700.0,1069.0,5.3,28.0,15,325.0,281,479,3144,34,13,5.9,170.0,540,2556,10,4.7,132.0,120,981,23.0,,,,,,,,,,,,,,,,,
pit,292,4525.0,897.0,5.0,32.0,17,263.0,237,408,2645,20,15,6.0,150.0,456,1880,11,4.1,93.0,110,928,20.0,,,,,,,,,,,,,,,,,
rai,337,4716.0,861.0,5.5,24.0,14,258.0,183,336,2688,19,10,7.4,133.0,496,2028,20,4.1,110.0,97,682,15.0,,,,,,,,,,,,,,,,,
ram,345,5430.0,1013.0,5.4,31.0,14,311.0,310,561,3818,24,17,6.5,191.0,422,1612,17,3.8,89.0,87,632,31.0,,,,,,,,,,,,,,,,,
sdg,315,4940.0,976.0,5.1,32.0,13,272.0,246,472,2683,18,19,5.5,142.0,484,2257,14,4.7,112.0,103,886,18.0,,,,,,,,,,,,,,,,,
sea,306,4583.0,945.0,4.8,36.0,16,284.0,265,448,2834,15,20,5.8,154.0,457,1749,18,3.8,112.0,89,746,18.0,,,,,,,,,,,,,,,,,
sfo,353,5895.0,1074.0,5.5,30.0,14,324.0,360,583,4177,28,16,6.7,201.0,454,1718,12,3.8,107.0,104,828,16.0,,,,,,,,,,,,,,,,,
tam,264,4475.0,911.0,4.9,43.0,19,238.0,245,448,2849,18,24,5.7,142.0,410,1626,7,4.0,83.0,77,651,13.0,,,,,,,,,,,,,,,,,
was,381,5562.0,1073.0,5.2,28.0,6,327.0,301,536,3479,22,22,6.2,193.0,515,2083,16,4.0,117.0,102,824,17.0,,,,,,,,,,,,,,,,,
