,Team Abreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,337,5207.0,999.0,5.2,32.0,13,310.0,328,517,3526,19,19,6.2,183.0,434,1681,20,3.9,107.0,129,930,20.0,185.0,29.7,16.8,Own 29.6,2:40,5.5,28.1,1.74,200.0,72.0,36.0%,16.0,10.0,62.5%,49.0,31.0,63.3%
1,buf,284,4228.0,978.0,4.3,39.0,15,258.0,261,486,2624,20,24,4.9,150.0,447,1604,6,3.6,79.0,120,865,29.0,192.0,27.6,19.3,Own 31.1,2:28,5.3,22.0,1.37,214.0,77.0,36.0%,15.0,11.0,73.3%,46.0,20.0,43.5%
2,car,339,5382.0,1021.0,5.3,38.0,12,307.0,303,513,3478,18,26,6.4,177.0,474,1904,19,4.0,98.0,117,1078,32.0,187.0,30.5,19.8,Own 29.9,2:35,5.6,28.8,1.71,215.0,99.0,46.0%,12.0,6.0,50.0%,50.0,27.0,54.0%
3,chi,331,5390.0,1046.0,5.2,29.0,12,302.0,287,515,3340,23,17,6.1,165.0,496,2050,9,4.1,109.0,120,914,28.0,216.0,26.9,13.4,Own 32.5,2:21,5.0,25.0,1.4,220.0,67.0,30.5%,15.0,4.0,26.7%,54.0,23.0,42.6%
4,cin,372,5365.0,1031.0,5.2,36.0,16,303.0,313,520,3303,23,20,5.9,158.0,474,2062,11,4.4,123.0,106,887,22.0,195.0,31.8,16.4,Own 31.7,2:31,5.5,27.4,1.65,218.0,80.0,36.7%,15.0,5.0,33.3%,52.0,25.0,48.1%
5,cle,390,5215.0,1024.0,5.1,28.0,13,307.0,277,460,2901,17,15,5.9,144.0,532,2314,22,4.3,141.0,109,890,22.0,195.0,32.3,12.3,Own 33.0,2:39,5.4,26.7,1.77,216.0,78.0,36.1%,16.0,7.0,43.8%,53.0,31.0,58.5%
6,clt,351,5929.0,1042.0,5.7,36.0,17,331.0,364,557,3892,26,19,6.5,209.0,440,2037,12,4.6,103.0,116,877,19.0,178.0,35.4,18.5,Own 30.7,2:49,6.0,33.1,1.92,217.0,91.0,41.9%,28.0,9.0,32.1%,46.0,22.0,47.8%
7,crd,322,5141.0,993.0,5.2,30.0,15,282.0,271,505,3036,18,15,5.6,153.0,450,2105,12,4.7,101.0,139,1121,28.0,203.0,27.1,14.8,Own 29.4,2:19,5.0,25.1,1.4,209.0,66.0,31.6%,14.0,8.0,57.1%,51.0,23.0,45.1%
8,dal,405,5285.0,960.0,5.5,22.0,9,297.0,310,502,3521,31,13,6.6,180.0,425,1764,14,4.2,88.0,104,879,29.0,185.0,35.7,10.8,Own 30.0,2:32,5.3,28.5,2.04,192.0,75.0,39.1%,7.0,2.0,28.6%,45.0,32.0,71.1%
9,den,304,4459.0,918.0,4.9,20.0,8,235.0,272,484,2947,17,12,5.6,130.0,396,1512,16,3.8,83.0,120,1062,22.0,192.0,28.1,9.9,Own 32.4,2:17,4.9,23.1,1.53,209.0,65.0,31.1%,14.0,5.0,35.7%,41.0,20.0,48.8%
10,det,350,5401.0,1071.0,5.0,24.0,10,320.0,328,535,3514,29,14,6.1,167.0,498,1887,10,3.8,118.0,114,976,35.0,189.0,29.6,12.2,Own 29.1,2:43,5.8,28.5,1.71,231.0,98.0,42.4%,19.0,7.0,36.8%,45.0,24.0,53.3%
11,gnb,380,5541.0,967.0,5.7,15.0,7,307.0,314,518,3663,33,8,6.6,181.0,409,1878,12,4.6,92.0,112,942,34.0,181.0,34.3,7.7,Own 31.7,2:37,5.5,30.5,2.02,197.0,69.0,35.0%,9.0,5.0,55.6%,44.0,28.0,63.6%
12,htx,339,5458.0,971.0,5.6,30.0,8,304.0,344,530,3615,32,22,6.5,194.0,417,1843,4,4.4,89.0,123,979,21.0,178.0,32.6,16.9,Own 30.2,2:43,5.6,30.5,1.79,205.0,89.0,43.4%,6.0,1.0,16.7%,44.0,25.0,56.8%
13,jax,280,5134.0,972.0,5.3,28.0,12,290.0,306,497,3357,18,16,6.3,181.0,438,1777,7,4.1,83.0,118,966,26.0,174.0,26.4,16.1,Own 28.7,2:44,5.7,29.4,1.37,206.0,84.0,40.8%,10.0,5.0,50.0%,47.0,18.0,38.3%
14,kan,435,6037.0,960.0,6.3,21.0,8,327.0,312,522,4203,32,13,7.5,190.0,397,1834,18,4.6,97.0,117,957,40.0,183.0,38.8,10.9,Own 31.3,2:26,5.4,32.9,2.26,185.0,71.0,38.4%,16.0,5.0,31.3%,54.0,34.0,63.0%
15,mia,354,4894.0,1009.0,4.9,25.0,10,281.0,244,434,2592,20,15,5.5,139.0,539,2302,12,4.3,107.0,107,852,35.0,205.0,25.4,11.2,Own 31.0,2:28,5.1,23.8,1.39,223.0,72.0,32.3%,11.0,8.0,72.7%,42.0,23.0,54.8%
16,min,395,5902.0,1018.0,5.8,22.0,11,350.0,338,544,3896,30,11,6.7,220.0,435,2006,15,4.6,110.0,110,974,20.0,166.0,41.6,13.3,Own 31.8,2:55,6.3,35.3,2.33,196.0,90.0,45.9%,16.0,10.0,62.5%,63.0,37.0,58.7%
17,nor,405,6141.0,1067.0,5.8,33.0,20,343.0,324,545,3888,24,13,6.7,193.0,485,2253,16,4.6,118.0,119,965,32.0,194.0,36.6,16.5,Own 30.0,2:38,5.7,31.5,1.92,210.0,80.0,38.1%,7.0,6.0,85.7%,60.0,31.0,51.7%
18,nwe,260,4972.0,988.0,5.0,36.0,16,290.0,315,538,3400,18,20,5.8,177.0,405,1572,9,3.9,83.0,118,1014,30.0,175.0,24.0,20.0,Own 30.8,2:37,5.8,28.4,1.34,209.0,81.0,38.8%,30.0,13.0,43.3%,49.0,20.0,40.8%
19,nyg,347,5187.0,1005.0,5.2,28.0,14,310.0,292,467,3030,28,14,6.0,170.0,498,2157,13,4.3,112.0,120,1007,28.0,191.0,31.9,14.7,Own 32.9,2:36,5.4,26.9,1.82,208.0,87.0,41.8%,14.0,6.0,42.9%,50.0,36.0,72.0%
20,nyj,261,4878.0,966.0,5.0,33.0,14,282.0,289,497,3312,21,19,6.2,169.0,432,1566,8,3.6,87.0,86,720,26.0,178.0,25.3,16.9,Own 29.5,2:35,5.5,27.3,1.41,208.0,79.0,38.0%,13.0,5.0,38.5%,41.0,20.0,48.8%
21,oti,439,5724.0,977.0,5.9,30.0,12,318.0,333,524,3807,29,18,6.8,189.0,421,1917,18,4.6,99.0,95,774,30.0,192.0,36.5,14.6,Own 31.3,2:22,5.2,29.7,2.07,186.0,62.0,33.3%,12.0,9.0,75.0%,54.0,31.0,57.4%
22,phi,260,5115.0,1039.0,4.9,28.0,11,299.0,334,550,3212,16,17,5.4,165.0,442,1903,13,4.3,101.0,119,1001,33.0,183.0,25.1,13.1,Own 29.8,2:47,5.8,28.0,1.39,229.0,82.0,35.8%,19.0,9.0,47.4%,46.0,22.0,47.8%
