,Team Abreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,363,5447.0,1048.0,5.2,25.0,8,330.0,332,570,3571,26,17,6.0,192.0,451,1876,15,4.2,105.0,78,664,33.0,170.0,35.3,13.5,30.6,2.8166666666666664,6.34,32.1,2.02,216.0,91.0,0.42100000000000004,23.0,16.0,0.696,56.0,29.0,0.518
1,buf,258,4382.0,911.0,4.8,30.0,11,233.0,256,441,2515,17,19,5.2,126.0,424,1867,6,4.4,81.0,107,855,26.0,188.0,27.1,13.8,30.3,2.4,5.02,23.3,1.3,198.0,51.0,0.258,15.0,7.0,0.467,38.0,12.0,0.316
2,car,315,5297.0,1023.0,5.2,31.0,11,289.0,264,465,2799,16,20,5.6,152.0,525,2498,18,4.8,123.0,88,698,14.0,193.0,29.0,15.0,28.2,2.5,5.45,27.4,1.58,220.0,82.0,0.373,20.0,9.0,0.45,40.0,20.0,0.5
3,chi,327,4965.0,971.0,5.1,34.0,7,262.0,340,563,3473,27,27,5.8,170.0,373,1492,6,4.0,71.0,100,836,21.0,193.0,29.5,16.6,32.4,2.3666666666666667,5.18,25.7,1.57,217.0,81.0,0.373,18.0,7.0,0.389,51.0,24.0,0.47100000000000003
4,cin,305,4946.0,1011.0,4.9,25.0,12,295.0,286,477,2890,21,13,5.7,159.0,505,2056,9,4.1,109.0,114,863,27.0,177.0,29.9,13.0,29.7,2.9333333333333336,5.87,27.8,1.58,229.0,93.0,0.406,14.0,10.0,0.7140000000000001,50.0,25.0,0.5
5,cle,245,4163.0,971.0,4.3,31.0,13,237.0,219,443,2076,11,18,4.4,118.0,498,2087,10,4.2,102.0,77,678,17.0,189.0,23.3,16.4,30.5,2.45,5.27,21.9,1.14,233.0,76.0,0.326,15.0,10.0,0.667,39.0,17.0,0.436
6,clt,416,5809.0,980.0,5.9,24.0,5,339.0,402,601,4515,34,19,7.4,241.0,366,1294,16,3.5,69.0,74,546,29.0,174.0,37.9,13.2,28.0,2.55,5.75,33.4,2.29,193.0,95.0,0.49200000000000005,11.0,5.0,0.455,53.0,35.0,0.66
7,crd,375,5510.0,985.0,5.6,36.0,18,317.0,392,594,4016,27,18,6.5,215.0,365,1494,16,4.1,77.0,108,886,25.0,199.0,30.7,17.1,29.9,2.4,5.05,27.6,1.78,190.0,69.0,0.363,9.0,5.0,0.556,54.0,38.0,0.7040000000000001
8,dal,361,6390.0,1020.0,6.3,19.0,10,335.0,347,550,4287,26,9,7.3,203.0,436,2103,14,4.8,110.0,115,892,22.0,179.0,33.5,9.5,27.6,2.8833333333333333,5.87,35.7,1.9,202.0,82.0,0.406,11.0,4.0,0.364,50.0,26.0,0.52
9,den,326,5463.0,1032.0,5.3,23.0,10,306.0,341,558,3627,21,13,6.1,186.0,440,1836,9,4.2,95.0,93,800,25.0,189.0,31.7,11.6,29.0,2.55,5.65,28.9,1.59,215.0,78.0,0.363,18.0,7.0,0.389,52.0,25.0,0.48100000000000004
10,det,262,4784.0,1037.0,4.6,41.0,9,281.0,316,585,3168,16,32,5.0,168.0,409,1616,9,4.0,82.0,98,768,31.0,194.0,23.7,20.1,27.7,2.3833333333333333,5.49,24.6,1.23,234.0,84.0,0.359,26.0,7.0,0.26899999999999996,36.0,17.0,0.47200000000000003
11,gnb,461,6065.0,1042.0,5.8,16.0,8,335.0,357,553,4180,30,8,6.9,201.0,438,1885,20,4.3,102.0,118,1057,32.0,191.0,40.3,7.9,32.3,2.7666666666666666,5.64,31.7,2.26,219.0,103.0,0.47,9.0,3.0,0.33299999999999996,62.0,34.0,0.5479999999999999
12,htx,388,6129.0,1043.0,5.9,28.0,11,340.0,399,593,4654,29,17,7.5,231.0,425,1475,13,3.5,93.0,95,833,16.0,187.0,33.7,15.0,30.2,2.7333333333333334,5.75,32.8,1.91,204.0,82.0,0.402,12.0,8.0,0.667,63.0,33.0,0.524
13,jax,290,5385.0,1010.0,5.3,23.0,13,300.0,315,519,3356,15,10,6.0,170.0,447,2029,19,4.5,114.0,70,542,16.0,176.0,29.5,12.5,28.5,2.7666666666666666,5.9,30.6,1.66,226.0,102.0,0.451,21.0,12.0,0.5710000000000001,47.0,24.0,0.511
14,kan,294,4851.0,1019.0,4.8,27.0,10,256.0,296,536,2922,18,17,5.0,139.0,438,1929,8,4.4,91.0,84,667,26.0,202.0,25.2,12.4,28.5,2.216666666666667,5.19,23.7,1.27,227.0,62.0,0.273,29.0,14.0,0.483,38.0,18.0,0.474
15,mia,360,5401.0,1088.0,5.0,29.0,10,333.0,331,545,3170,15,19,5.5,188.0,509,2231,22,4.4,129.0,78,640,16.0,181.0,34.3,15.5,28.4,2.8333333333333335,6.17,29.7,1.85,245.0,120.0,0.49,18.0,13.0,0.722,54.0,33.0,0.611
16,min,470,6074.0,1054.0,5.8,18.0,11,343.0,377,553,4156,34,7,7.1,220.0,467,1918,19,4.1,99.0,101,757,24.0,188.0,42.0,9.0,32.5,2.8,5.76,32.2,2.39,223.0,100.0,0.44799999999999995,12.0,8.0,0.667,69.0,43.0,0.623
17,nor,510,6461.0,1032.0,6.3,28.0,16,348.0,378,544,4355,34,12,7.7,215.0,468,2106,21,4.5,115.0,89,787,18.0,185.0,41.6,13.5,31.4,2.7333333333333334,5.73,34.9,2.44,197.0,88.0,0.447,15.0,6.0,0.4,71.0,41.0,0.5770000000000001
18,nwe,427,6357.0,1076.0,5.9,22.0,9,373.0,390,592,4436,28,13,7.3,222.0,466,1921,19,4.1,114.0,81,743,37.0,178.0,41.0,12.4,30.0,2.966666666666667,6.22,35.7,2.29,206.0,90.0,0.43700000000000006,22.0,11.0,0.5,65.0,34.0,0.523
19,nyg,402,5856.0,1017.0,5.8,31.0,17,323.0,338,542,4019,28,14,7.0,194.0,443,1837,14,4.1,103.0,95,802,26.0,183.0,37.7,15.3,30.5,2.7666666666666666,5.73,32.0,2.05,210.0,90.0,0.429,15.0,9.0,0.6,56.0,27.0,0.48200000000000004
20,nyj,348,5136.0,1030.0,5.0,30.0,9,280.0,210,393,2380,12,21,5.6,131.0,607,2756,21,4.5,132.0,88,677,17.0,198.0,31.8,15.2,32.4,2.6,5.38,25.9,1.62,232.0,86.0,0.371,20.0,15.0,0.75,49.0,24.0,0.49
21,oti,354,5623.0,990.0,5.7,31.0,16,288.0,271,476,3031,16,15,6.2,154.0,499,2592,19,5.2,115.0,98,821,19.0,187.0,33.2,15.0,27.1,2.45,5.47,29.9,1.74,214.0,89.0,0.41600000000000004,22.0,12.0,0.545,39.0,22.0,0.564
22,phi,429,5726.0,975.0,5.9,23.0,10,290.0,335,553,4089,27,13,6.9,182.0,384,1637,14,4.3,87.0,115,951,21.0,192.0,38.0,10.4,30.6,2.35,5.27,29.8,1.99,207.0,75.0,0.36200000000000004,14.0,6.0,0.429,52.0,25.0,0.48100000000000004
23,pit,368,5941.0,1014.0,5.9,25.0,11,331.0,351,536,4148,28,14,7.1,210.0,428,1793,10,4.2,96.0,85,769,25.0,183.0,35.5,12.6,29.5,2.8666666666666667,5.71,32.4,1.9,203.0,80.0,0.39399999999999996,12.0,8.0,0.667,56.0,27.0,0.48200000000000004
24,rai,197,4258.0,944.0,4.5,33.0,15,234.0,255,485,2557,10,18,4.8,131.0,410,1701,7,4.1,81.0,117,920,22.0,194.0,22.2,16.5,27.1,2.3333333333333335,5.02,21.9,1.02,213.0,63.0,0.29600000000000004,21.0,10.0,0.47600000000000003,29.0,12.0,0.414
25,ram,175,4470.0,998.0,4.5,33.0,12,259.0,312,543,2686,12,21,4.6,159.0,411,1784,4,4.3,79.0,100,834,21.0,181.0,19.3,16.6,28.1,2.5833333333333335,5.65,24.6,0.93,226.0,73.0,0.32299999999999995,28.0,10.0,0.35700000000000004,34.0,11.0,0.324
26,rav,391,5619.0,1014.0,5.5,22.0,9,320.0,321,510,3419,21,13,6.3,187.0,468,2200,22,4.7,115.0,115,1094,18.0,183.0,35.0,10.9,31.8,2.5833333333333335,5.7,30.7,1.99,214.0,89.0,0.41600000000000004,13.0,6.0,0.462,57.0,30.0,0.526
27,sdg,454,5761.0,972.0,5.9,17.0,7,330.0,338,519,4338,29,10,8.0,222.0,427,1423,17,3.3,80.0,78,570,28.0,170.0,45.9,9.4,30.8,2.8166666666666664,5.92,33.9,2.46,187.0,83.0,0.444,10.0,5.0,0.5,63.0,34.0,0.54
28,sea,280,5069.0,1045.0,4.9,31.0,12,297.0,372,609,3503,20,19,5.4,184.0,395,1566,7,4.0,80.0,95,840,33.0,194.0,26.3,15.5,28.4,2.2666666666666666,5.52,25.8,1.35,225.0,75.0,0.33299999999999996,19.0,8.0,0.42100000000000004,48.0,19.0,0.396
29,sfo,330,4652.0,939.0,5.0,24.0,10,238.0,312,528,3052,23,14,5.4,137.0,371,1600,12,4.3,77.0,98,758,24.0,196.0,27.6,10.2,29.1,2.4333333333333336,4.91,23.8,1.54,218.0,65.0,0.298,21.0,12.0,0.5710000000000001,39.0,23.0,0.59
30,tam,244,4600.0,961.0,4.8,34.0,5,246.0,279,524,2973,18,29,5.3,148.0,404,1627,5,4.0,80.0,93,696,18.0,194.0,20.1,17.5,30.4,2.3666666666666667,5.09,23.6,1.08,218.0,71.0,0.326,22.0,9.0,0.409,31.0,16.0,0.516
31,was,266,5000.0,970.0,5.2,28.0,12,280.0,340,533,3490,21,16,6.0,191.0,391,1510,8,3.9,72.0,85,679,17.0,172.0,29.7,13.4,28.7,2.7,5.78,28.9,1.56,216.0,86.0,0.39799999999999996,22.0,7.0,0.318,46.0,26.0,0.565
