,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,136,2609,473,5.5,14,6,148,173,255,1633,8,8,5.8,87,190,976,5,5.1,43,50,407,18,84,31.0,16.7,Own 25.5,2:43,5.8,31.1,1.55,100,40,40.0,8,3,37.5,26,11,42.3
1,2022,286,5106,997,5.1,27,10,313,362,570,3433,21,17,5.6,181,387,1673,10,4.3,103,89,754,29,168,31.0,14.3,Own 27.9,2:55,6.1,30.3,1.67,208,78,37.5%,33,19,57.6%,49,22,44.9%
2,2021,289,4637,1014,4.6,30,11,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,844,39,186,28.0,14.5,Own 28.9,2:37,5.6,24.7,1.51,214,66,30.8%,35,16,45.7%,45,23,51.1%
3,2020,375,5640,1025,5.5,26,11,351,369,573,3726,23,15,6.1,199,414,1914,21,4.6,125,86,728,27,170,39.4,15.3,Own 26.6,2:39,6.2,33.1,2.22,191,76,39.8%,19,11,57.9%,58,38,65.5%
4,2019,259,4772,985,4.8,23,9,295,348,553,3123,15,14,5.2,169,388,1649,12,4.3,93,94,815,33,182,23.6,12.1,Own 28.2,2:38,5.6,26.1,1.30,212,76,35.8%,21,8,38.1%,43,24,55.8%
5,2018,374,4706,968,4.9,27,11,293,313,492,2867,22,16,5.4,157,440,1839,17,4.2,111,99,976,25,189,33.3,14.3,Own 32.6,2:30,5.3,24.8,1.83,203,74,36.5%,11,6,54.5%,48,34,70.8%
6,2017,359,5682,1066,5.3,25,7,348,370,573,3688,14,18,6.1,199,466,1994,22,4.3,121,97,873,28,183,37.2,13.1,Own 30.3,2:49,6.1,31.1,1.90,214,82,38.3,20,11,55.0,57,30,52.6
7,2016,378,5712,1019,5.6,18,6,338,306,511,3582,19,12,6.5,183,469,2130,21,4.5,122,106,884,33,183,38.8,9.3,Own 29.5,2:43,5.8,31.0,2.06,205,82,40.0%,14,4,28.6%,57,30,52.6%
8,2015,359,5702,1017,5.6,25,8,322,347,602,3972,30,17,6.4,198,394,1730,10,4.4,87,113,906,37,191,32.5,11.0,Own 28.1,2:24,5.5,29.7,1.81,210,85,40.5%,13,3,23.1%,45,27,60.0%
9,2014,289,4995,1027,4.9,30,11,302,337,559,3292,16,19,5.4,171,414,1703,10,4.1,89,104,849,42,198,28.3,14.1,Own 26.9,2:28,5.4,25.2,1.37,220,73,33.2%,11,5,45.5%,44,22,50.0%
10,2013,388,5334,1089,4.9,30,7,308,310,561,3271,28,23,5.3,170,471,2063,10,4.4,98,108,931,40,214,32.2,14.0,Own 31.2,2:23,5.3,24.7,1.68,245,91,37.1%,10,4,40.0%,51,24,47.1%
11,2012,435,5806,1042,5.6,21,9,349,306,536,3473,25,12,6.1,182,470,2333,23,5.0,136,80,693,31,186,37.1,10.8,Own 30.3,2:35,5.8,31.2,2.15,209,92,44.0%,12,6,50.0%,55,38,69.1%
12,2011,434,5938,1003,5.9,31,11,340,321,507,3714,30,20,6.9,196,467,2224,19,4.8,120,85,871,24,189,37.0,15.3,Own 29.5,2:31,5.4,31.4,2.15,189,75,39.7%,13,9,69.2%,59,38,64.4%
13,2010,425,5786,1071,5.4,22,11,335,294,473,3072,28,11,6.1,179,571,2714,18,4.8,138,85,634,18,191,39.3,10.5,Own 33.9,2:48,5.8,30.3,2.14,227,98,43.2%,10,7,70.0%,54,33,61.1%
14,2009,326,5449,1086,5.0,33,5,310,295,519,2948,14,28,5.4,157,535,2501,19,4.7,134,107,919,19,192,28.6,16.7,Own 29.7,2:43,5.8,28.3,1.55,240,97,40.4%,26,14,53.8%,50,27,54.0%
15,2008,342,5217,971,5.4,22,12,293,301,492,3271,14,10,6.3,167,455,1946,18,4.3,113,72,540,13,179,36.9,11.2,Own 31.7,2:40,5.7,29.1,1.82,202,73,36.1%,16,8,50.0%,55,23,41.8%
16,2007,354,5807,1047,5.5,30,12,322,354,567,3814,19,18,6.4,203,454,1993,15,4.4,104,73,567,15,172,36.0,16.3,Own 29.2,2:54,6.3,33.6,1.90,224,101,45.1%,22,10,45.5%,56,25,44.6%
17,2006,311,5273,1029,5.1,24,11,298,324,513,3019,18,13,5.5,168,476,2254,14,4.7,117,90,709,13,187,28.9,11.8,Own 29.6,2:44,5.6,28.1,1.55,216,79,36.6%,17,11,64.7%,45,24,53.3%
18,2005,367,5496,1030,5.3,30,13,343,314,503,3291,19,17,6.1,169,489,2205,22,4.5,146,124,904,28,177,33.9,16.4,Own 30.0,2:48,6.0,30.9,1.94,200,93,46.5%,12,7,58.3%,52,33,63.5%
19,2004,284,4228,978,4.3,39,15,258,261,486,2624,20,24,4.9,150,447,1604,6,3.6,79,120,865,29,192,27.6,19.3,Own 31.1,2:28,5.3,22.0,1.37,214,77,36.0%,15,11,73.3%,46,20,43.5%
20,2003,279,4313,1010,4.3,18,8,270,285,508,2707,18,10,5.0,153,464,1606,11,3.5,92,110,996,25,193,26.9,9.3,Own 33.5,2:31,5.4,22.4,1.41,225,86,38.2%,13,7,53.8%,45,23,51.1%
21,2002,397,5189,999,5.2,19,9,303,281,495,3067,24,10,5.8,160,473,2122,20,4.5,107,117,1053,36,188,33.5,10.1,Own 33.3,2:30,5.5,27.4,1.94,206,76,36.9%,23,10,43.5%,50,35,70.0%
22,2001,420,5292,969,5.5,19,8,302,284,453,3159,23,11,6.5,154,482,2133,20,4.4,122,93,835,26,182,39.0,9.3,Own 36.6,2:44,5.5,28.9,2.12,205,86,42.0%,9,4,44.4%,57,30,52.6%
23,2000,350,4426,966,4.6,29,13,252,283,480,2867,18,16,5.5,153,444,1559,13,3.5,76,103,905,23,199,30.2,14.1,Own 34.9,2:22,5.0,22.1,1.53,219,81,37.0%,11,7,63.6%,54,26,48.1%
24,1999,229,4045,950,4.3,21,9,244,269,506,2675,12,12,4.9,144,407,1370,9,3.4,73,97,790,27,187,23.5,11.2,Own 31.5,2:25,5.2,21.6,1.16,220,68,30.9%,18,6,33.3%,39,17,43.6%
25,1998,333,4691,950,4.9,31,13,283,294,532,3198,27,18,5.6,168,375,1493,11,4.0,79,104,836,36,,,,,,,,,,,,,,,,,
26,1997,367,4853,1041,4.7,22,7,265,287,502,3061,17,15,5.6,160,493,1792,11,3.6,85,98,992,20,,,,,,,,,,,,,,,,,
27,1996,266,4737,1105,4.3,28,14,283,292,562,3068,11,14,5.0,168,495,1669,12,3.4,94,86,607,21,,,,,,,,,,,,,,,,,
28,1995,335,5128,1084,4.7,28,11,287,310,582,3502,14,17,5.5,180,453,1626,16,3.6,93,115,890,14,,,,,,,,,,,,,,,,,
29,1994,356,5175,1007,5.1,28,12,294,314,535,3660,26,16,6.5,199,447,1515,10,3.4,82,101,770,13,,,,,,,,,,,,,,,,,
30,1993,242,5554,1119,5.0,47,24,331,323,582,3633,18,23,5.9,199,500,1921,7,3.8,114,99,681,18,,,,,,,,,,,,,,,,,
31,1992,283,4604,991,4.6,35,12,278,305,520,3209,19,23,5.7,185,427,1395,8,3.3,77,118,933,16,,,,,,,,,,,,,,,,,
32,1991,318,5458,1086,5.0,37,14,335,299,536,3414,12,23,6.0,166,519,2044,20,3.9,138,110,938,31,,,,,,,,,,,,,,,,,
33,1990,263,4607,981,4.7,35,17,288,254,455,2799,17,18,5.6,159,483,1808,13,3.7,105,107,839,24,,,,,,,,,,,,,,,,,
34,1989,317,5046,1030,4.9,36,13,299,255,508,3206,14,23,5.9,156,484,1840,15,3.8,117,87,616,26,,,,,,,,,,,,,,,,,
35,1988,237,4578,971,4.7,32,17,299,250,448,2724,14,15,5.5,146,477,1854,14,3.9,114,90,713,39,,,,,,,,,,,,,,,,,
36,1987,305,4906,1022,4.8,31,14,297,249,447,2854,25,17,5.9,162,541,2052,11,3.8,114,103,840,21,,,,,,,,,,,,,,,,,
37,1986,348,5523,1071,5.2,18,8,334,343,570,3802,21,10,6.3,204,465,1721,18,3.7,100,128,1098,30,,,,,,,,,,,,,,,,,
38,1985,381,5540,1071,5.2,35,15,320,265,477,3078,24,20,6.1,159,569,2462,20,4.3,142,107,870,19,,,,,,,,,,,,,,,,,
39,1984,454,5582,1052,5.3,37,21,345,300,495,3476,32,16,6.7,186,531,2106,19,4.0,134,87,734,25,,,,,,,,,,,,,,,,,
40,1983,351,5809,1078,5.4,31,18,332,286,480,3306,22,13,6.5,148,566,2503,14,4.4,148,128,1298,36,,,,,,,,,,,,,,,,,
41,1982,154,2334,536,4.4,21,8,151,114,256,1300,8,13,4.9,72,268,1034,6,3.9,64,49,395,15,,,,,,,,,,,,,,,,,
42,1981,276,4945,1037,4.8,36,17,298,267,474,2870,21,19,5.5,154,516,2075,7,4.0,113,93,690,31,,,,,,,,,,,,,,,,,
43,1980,260,4101,952,4.3,44,20,251,240,433,2282,15,24,4.9,120,486,1819,14,3.7,109,97,805,22,,,,,,,,,,,,,,,,,
44,1979,279,5011,1022,4.9,41,17,273,193,382,2530,14,24,6.2,117,617,2481,18,4.0,137,106,788,19,,,,,,,,,,,,,,,,,
45,1978,354,5188,1016,5.1,30,16,305,167,317,1960,20,14,5.8,104,677,3228,23,4.8,171,98,941,30,,,,,,,,,,,,,,,,,
46,1977,313,4453,922,4.8,33,12,260,155,316,2048,17,21,6.2,98,589,2405,21,4.1,134,71,638,28,,,,,,,,,,,,,,,,,
47,1976,363,4730,898,5.3,42,23,262,163,337,2265,18,19,6.2,110,533,2465,19,4.6,128,92,704,24,,,,,,,,,,,,,,,,,
48,1975,355,5073,941,5.4,45,20,300,237,431,3080,25,25,6.7,151,480,1993,21,4.2,124,82,651,25,,,,,,,,,,,,,,,,,
49,1974,244,3489,832,4.2,31,11,219,146,311,1611,11,20,4.7,97,489,1878,19,3.8,96,73,597,26,,,,,,,,,,,,,,,,,
50,1973,230,3915,855,4.6,33,19,231,166,368,2118,12,14,5.3,112,455,1797,11,3.9,101,53,485,18,,,,,,,,,,,,,,,,,
51,1972,377,4192,862,4.9,31,8,249,131,308,1951,19,23,5.9,95,532,2241,26,4.2,125,72,685,29,,,,,,,,,,,,,,,,,
52,1971,394,4604,895,5.1,22,11,250,157,303,2108,20,11,6.3,101,562,2496,21,4.4,135,89,883,14,,,,,,,,,,,,,,,,,
53,1970,337,3806,853,4.5,26,15,213,157,338,2088,15,11,5.7,103,484,1718,16,3.5,87,73,814,23,,,,,,,,,,,,,,,,,
54,1969,359,4334,853,5.1,37,18,236,175,368,2476,21,19,6.2,118,454,1858,17,4.1,106,71,719,12,,,,,,,,,,,,,,,,,
55,1968,367,4225,876,4.8,35,13,210,143,340,2204,19,22,5.9,103,505,2021,15,4.0,85,66,540,22,,,,,,,,,,,,,,,,,
56,1967,285,3447,857,4.0,36,9,201,162,377,1825,17,27,4.3,106,437,1622,11,3.7,73,51,507,22,,,,,,,,,,,,,,,,,
57,1966,255,4109,842,4.9,38,9,192,205,466,3058,22,29,6.1,131,344,1051,6,3.1,49,55,546,12,,,,,,,,,,,,,,,,,
58,1965,226,4284,890,4.8,57,25,226,227,502,3170,19,32,6.0,141,360,1114,4,3.1,65,69,832,20,,,,,,,,,,,,,,,,,
59,1964,242,3878,867,4.5,43,15,206,241,517,2965,24,28,5.2,145,300,913,4,3.0,48,54,577,13,,,,,,,,,,,,,,,,,
60,1963,291,4075,814,5.0,33,12,224,218,472,2840,24,21,5.5,147,301,1235,12,4.1,63,55,508,14,,,,,,,,,,,,,,,,,
61,1962,272,4429,845,5.2,50,14,229,215,440,2742,24,36,5.8,129,373,1687,10,4.5,89,80,786,11,,,,,,,,,,,,,,,,,
62,1961,342,4264,815,5.2,44,15,200,206,430,2887,28,29,6.2,124,349,1377,9,3.9,61,76,693,15,,,,,,,,,,,,,,,,,
63,1960,303,3854,903,4.3,49,16,225,185,429,2130,19,33,4.6,109,438,1724,15,3.9,103,62,608,13,,,,,,,,,,,,,,,,,
