,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,310,4820,1065,4.5,16,9,296,353,566,3086,20,7,4.9,172,431,1734,13,4.0,97,110,867,27,181,29.8,7.7,Own 29.8,2:50,6.02,26.6,1.62,231,76,32.9%,38,23,60.5%,37,23,62.2%
1,2023,360,5495,1097,5.0,25,10,322,321,513,3096,19,15,5.5,169,534,2399,16,4.5,137,99,853,16,184,38.0,13.0,Own 29.8,2:57,6.15,29.8,1.90,238,98,41.2%,26,13,50.0%,49,28,57.1%
2,2022,326,5233,993,5.3,25,10,278,223,377,2219,19,15,5.1,109,558,3014,18,5.4,148,80,754,21,181,34.3,12.7,Own 29.9,2:46,5.64,28.7,1.85,220,90,40.9%,25,8,32.0%,50,28,56.0%
3,2021,311,5225,1075,4.9,29,9,333,332,542,3207,16,20,5.3,180,475,2018,14,4.2,119,106,919,34,178,31.5,15.2,Own 28.6,2:54,6.21,29.3,1.62,216,75,34.7%,36,15,41.7%,48,23,47.9%
4,2020,372,5302,1043,5.1,22,6,335,402,614,3655,26,16,5.6,218,393,1647,12,4.2,93,88,777,24,175,38.9,12.0,Own 30.5,2:47,6.14,30.3,2.03,205,71,34.6%,28,17,60.7%,55,31,56.4%
5,2019,280,4749,1020,4.7,19,7,297,371,580,3291,20,12,5.3,178,395,1458,8,3.7,85,103,838,34,175,29.1,10.3,Own 28.5,2:46,5.99,27.2,1.51,216,77,35.6%,21,7,33.3%,46,24,52.2%
6,2018,421,5502,1013,5.4,24,10,331,344,512,3564,28,14,6.5,177,468,1938,16,4.1,108,97,796,46,182,36.8,13.2,Own 30.4,2:51,5.76,30.1,2.07,200,82,41.0%,15,9,60.0%,54,36,66.7%
7,2017,264,4599,934,4.9,22,10,266,291,473,2811,13,12,5.5,144,422,1788,13,4.2,92,115,943,30,174,24.1,12.1,Own 27.1,2:41,5.52,26.3,1.32,205,71,34.6,18,7,38.9,33,20,60.6
8,2016,279,5704,967,5.9,31,12,324,347,559,3969,19,19,6.8,212,380,1735,10,4.6,93,110,967,19,172,27.3,17.4,Own 25.5,2:37,5.76,33.0,1.49,185,70,37.8%,14,4,28.6%,49,25,51.0%
9,2015,335,5514,1025,5.4,21,9,312,334,523,3660,21,12,6.6,177,468,1854,13,4.0,108,99,909,27,179,37.4,11.2,Own 29.4,2:49,5.94,30.7,1.88,219,93,42.5%,10,6,60.0%,50,24,48.0%
10,2014,319,5233,1005,5.2,29,10,322,396,609,3792,30,19,5.8,194,355,1441,8,4.1,91,113,997,37,180,27.8,16.1,Own 25.9,2:41,5.67,29.0,1.68,207,78,37.7%,28,13,46.4%,47,30,63.8%
11,2013,445,6109,1013,6.0,23,10,344,373,579,4281,32,13,7.0,215,404,1828,13,4.5,102,85,708,27,182,39.0,12.1,Own 28.5,2:44,5.73,33.5,2.16,197,83,42.1%,13,8,61.5%,60,35,58.3%
12,2012,375,4969,999,5.0,24,8,292,287,485,2999,21,16,5.7,163,470,1970,11,4.2,99,102,811,30,195,30.3,11.8,Own 31.1,2:37,5.29,25.4,1.56,219,80,36.5%,13,5,38.5%,46,23,50.0%
13,2011,353,5026,978,5.1,29,9,271,268,473,3011,18,20,5.8,153,456,2015,10,4.4,97,104,800,21,199,28.6,14.6,Own 27.0,2:27,5.08,25.2,1.44,203,66,32.5%,8,2,25.0%,38,20,52.6%
14,2010,334,4631,936,4.9,31,10,263,276,466,3015,23,21,5.8,163,414,1616,10,3.9,76,91,768,24,198,29.3,15.7,Own 33.7,2:23,4.88,23.4,1.55,195,64,32.8%,7,2,28.6%,51,23,45.1%
15,2009,327,4965,971,5.1,34,7,262,340,563,3473,27,27,5.8,170,373,1492,6,4.0,71,100,836,21,193,29.5,16.6,Own 32.4,2:22,5.18,25.7,1.57,217,81,37.3%,18,7,38.9%,51,24,47.1%
16,2008,375,4734,991,4.8,27,13,264,304,528,3061,20,14,5.5,153,434,1673,15,3.9,98,78,610,13,203,30.5,11.3,Own 33.4,2:15,5.03,23.3,1.63,219,78,35.6%,14,6,42.9%,50,28,56.0%
17,2007,334,4692,1035,4.5,34,13,266,327,569,3362,18,21,5.5,168,423,1330,8,3.1,74,111,839,24,205,27.8,15.1,Own 34.5,2:13,5.22,22.8,1.34,238,81,34.0%,16,7,43.8%,44,18,40.9%
18,2006,427,5199,1042,5.0,36,14,300,282,514,3281,24,22,6.1,161,503,1918,14,3.8,103,112,923,36,201,34.8,15.9,Own 32.6,2:28,5.36,25.8,1.80,231,85,36.8%,13,9,69.2%,50,24,48.0%
19,2005,260,4101,937,4.4,28,13,233,219,418,2002,11,15,4.5,111,488,2099,11,4.3,99,105,850,23,195,22.6,12.8,Own 33.8,2:22,4.97,21.0,1.13,215,62,28.8%,16,7,43.8%,43,20,46.5%
20,2004,231,3816,967,3.9,37,21,230,249,471,2192,9,16,4.1,121,430,1624,10,3.8,84,124,956,25,207,16.4,16.4,Own 32.3,2:12,4.79,18.3,0.86,223,56,25.1%,19,6,31.6%,38,16,42.1%
21,2003,283,4380,1001,4.4,29,9,264,271,515,2617,12,20,4.7,143,443,1763,13,4.0,104,92,806,17,186,27.4,14.5,Own 33.0,2:33,5.59,23.4,1.36,228,77,33.8%,23,15,65.2%,45,22,48.9%
22,2002,281,4395,969,4.5,35,17,260,310,543,3051,22,18,5.2,156,382,1344,8,3.5,79,95,864,25,199,26.1,16.1,Own 30.9,2:15,5.02,21.9,1.39,210,71,33.8%,21,10,47.6%,40,23,57.5%
23,2001,338,4694,1020,4.6,24,8,277,315,528,2952,20,16,5.4,153,475,1742,12,3.7,100,63,622,24,195,29.7,11.3,Own 33.4,2:31,5.39,23.9,1.55,225,74,32.9%,21,10,47.6%,41,19,46.3%
24,2000,216,4541,993,4.6,29,13,239,304,542,2805,12,16,4.9,143,417,1736,6,4.2,89,90,696,7,194,20.1,14.4,Own 29.0,2:21,5.26,23.3,0.97,222,67,30.2%,25,11,44.0%,26,11,42.3%
25,1999,272,5523,1118,4.9,37,15,302,404,684,4136,25,22,5.7,203,396,1387,4,3.5,82,117,915,17,205,23.4,17.6,Own 32.5,2:19,5.62,26.7,1.27,247,91,36.8%,27,11,40.7%,48,17,35.4%
26,1998,276,4766,979,4.9,34,21,264,284,494,3053,16,13,5.8,154,454,1713,9,3.8,89,86,714,21,,,,,,,,,,,,,,,,,
27,1997,263,4990,1128,4.4,41,19,305,336,595,3244,14,22,5.1,188,490,1746,14,3.6,94,107,867,23,,,,,,,,,,,,,,,,,
28,1996,283,4905,1046,4.7,27,9,300,318,551,3185,19,18,5.5,176,472,1720,9,3.6,104,103,808,20,,,,,,,,,,,,,,,,,
29,1995,392,5673,1030,5.5,26,16,340,315,523,3743,29,10,7.0,201,492,1930,15,3.9,116,71,601,23,,,,,,,,,,,,,,,,,
30,1994,271,4679,1014,4.6,26,10,274,308,502,3091,19,16,5.9,165,487,1588,10,3.3,88,65,503,21,,,,,,,,,,,,,,,,,
31,1993,234,3717,913,4.1,30,14,226,230,388,2040,7,16,4.7,113,477,1677,10,3.5,98,68,587,15,,,,,,,,,,,,,,,,,
32,1992,295,4941,951,5.2,34,10,282,266,479,3070,17,24,5.9,157,427,1871,15,4.4,101,93,776,24,,,,,,,,,,,,,,,,,
33,1991,299,5069,1025,4.9,33,16,317,286,497,3120,16,17,6.0,168,502,1949,18,3.9,120,80,662,29,,,,,,,,,,,,,,,,,
34,1990,348,4980,1024,4.9,26,14,295,229,430,2544,14,12,5.4,134,551,2436,22,4.4,142,75,615,19,,,,,,,,,,,,,,,,,
35,1989,358,5375,1028,5.2,42,17,302,267,484,3088,21,25,6.0,147,516,2287,22,4.4,136,95,846,19,,,,,,,,,,,,,,,,,
36,1988,312,5317,1040,5.1,34,19,303,248,461,2998,13,15,6.2,134,555,2319,25,4.2,137,88,644,32,,,,,,,,,,,,,,,,,
37,1987,356,5044,1026,4.9,44,20,319,272,493,3090,23,24,5.7,156,485,1954,13,4.0,121,103,821,42,,,,,,,,,,,,,,,,,
38,1986,352,5459,1045,5.2,47,22,305,208,415,2759,12,25,6.3,118,606,2700,21,4.5,166,98,765,21,,,,,,,,,,,,,,,,,
39,1985,456,5837,1085,5.4,31,15,343,237,432,3076,17,16,6.5,145,610,2761,27,4.5,176,104,912,22,,,,,,,,,,,,,,,,,
40,1984,325,5437,1100,4.9,31,16,297,226,390,2463,14,15,5.8,115,674,2974,22,4.4,164,114,851,18,,,,,,,,,,,,,,,,,
41,1983,311,5830,1083,5.4,36,14,308,255,447,3103,21,22,6.2,136,583,2727,14,4.7,154,107,869,18,,,,,,,,,,,,,,,,,
42,1982,141,2493,571,4.4,19,8,153,141,262,1505,10,11,5.1,83,276,988,5,3.6,56,58,422,14,,,,,,,,,,,,,,,,,
43,1981,253,4633,1132,4.1,40,17,278,222,489,2462,14,23,4.7,126,608,2171,13,3.6,126,121,996,26,,,,,,,,,,,,,,,,,
44,1980,304,4835,1016,4.8,39,14,286,209,404,2395,13,25,5.5,121,579,2440,22,4.2,139,100,842,26,,,,,,,,,,,,,,,,,
45,1979,306,4637,1031,4.5,29,13,262,195,373,2151,16,16,5.3,98,627,2486,17,4.0,140,100,816,24,,,,,,,,,,,,,,,,,
46,1978,253,4459,1020,4.4,36,8,262,186,352,1933,7,28,5.0,99,634,2526,19,4.0,136,101,958,27,,,,,,,,,,,,,,,,,
47,1977,255,4655,930,5.0,35,17,247,161,305,1844,11,18,5.6,94,599,2811,18,4.7,141,97,852,12,,,,,,,,,,,,,,,,,
48,1976,253,3843,880,4.4,28,13,201,123,278,1480,9,15,4.9,67,578,2363,20,4.1,115,114,984,19,,,,,,,,,,,,,,,,,
49,1975,191,3492,829,4.2,40,17,190,191,356,1839,9,23,4.7,99,441,1653,11,3.7,74,100,881,17,,,,,,,,,,,,,,,,,
