,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,460,6303,1027,6.1,19,8,343,308,479,3807,28,11,7.6,171,526,2496,23,4.7,142,112,836,30,181,45.9,9.9,Own 32.0,2:52,5.88,34.8,2.50,190,75,39.5%,16,8,50.0%,69,41,59.4%
1,2023,383,5873,1052,5.6,18,7,338,374,581,3968,32,11,6.5,211,441,1905,10,4.3,101,105,856,26,174,39.7,9.2,Own 29.8,2:54,6.24,33.8,2.16,223,105,47.1%,24,12,50.0%,64,33,51.6%
2,2022,370,5745,1051,5.5,22,10,334,364,563,3632,27,12,6.1,186,456,2113,12,4.6,116,89,747,32,177,36.2,11.3,Own 29.9,3:04,6.10,32.5,1.97,200,79,39.5%,31,12,38.7%,54,28,51.9%
3,2021,450,6215,1072,5.8,13,6,375,402,593,4315,39,7,6.9,235,446,1900,13,4.3,109,69,678,31,173,44.5,6.4,Own 30.0,3:14,6.39,35.9,2.54,202,88,43.6%,22,13,59.1%,70,41,58.6%
4,2020,509,6224,990,6.3,11,6,358,372,526,4106,48,5,7.5,216,443,2118,16,4.8,114,84,684,28,161,49.7,5.6,Own 28.8,3:14,6.25,38.6,3.08,180,89,49.4%,21,13,61.9%,60,48,80.0%
5,2019,376,5528,1020,5.4,13,9,320,356,573,3733,26,4,6.1,190,411,1795,18,4.4,90,100,774,40,177,37.3,6.8,Own 34.1,2:51,5.90,31.2,2.11,203,73,36.0%,14,7,50.0%,50,32,64.0%
6,2018,376,5905,1026,5.8,15,11,332,392,640,4238,25,4,6.1,208,333,1667,14,5.0,98,108,937,26,178,38.8,6.7,Own 27.5,2:42,6.03,33.2,2.04,204,75,36.8%,20,10,50.0%,47,29,61.7%
7,2017,320,4891,999,4.9,25,7,307,352,562,3167,25,18,5.2,176,386,1724,13,4.5,99,96,789,32,174,30.5,13.2,Own 26.5,2:41,5.89,28.1,1.79,211,83,39.3,28,15,53.6,42,26,61.9
8,2016,432,5900,1029,5.7,17,9,349,403,620,4199,40,8,6.4,222,374,1701,11,4.5,91,100,827,36,176,43.8,9.1,Own 29.6,2:50,6.03,33.6,2.47,210,98,46.7%,17,7,41.2%,66,40,60.6%
9,2015,368,5353,1056,5.1,17,9,317,348,573,3503,31,8,5.7,173,436,1850,8,4.2,100,105,906,44,192,33.3,8.9,Own 28.1,2:31,5.65,27.8,1.83,208,70,33.7%,21,11,52.4%,52,28,53.8%
10,2014,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,169,46.7,7.1,Own 28.5,2:53,6.12,36.5,2.63,197,93,47.2%,10,4,40.0%,64,37,57.8%
