Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,367,5633,1040,5.4,14,5,342,367,559,3868,22,9,6.6,192,450,1765,15,3.9,119,91,798,31,169,39.1,8.3,Own 29.7,2:58,6.36,33.3,2.05,201,74,36.8%,24,16,66.7%,63,33,52.4%
2023,404,6108,1094,5.6,18,5,351,361,583,4063,26,13,6.6,206,477,2045,18,4.3,110,89,720,35,185,41.1,9.2,Own 28.6,2:50,6.15,33.0,2.18,226,95,42.0%,21,13,61.9%,55,35,63.6%
2022,307,4769,1001,4.8,23,8,293,347,531,3108,16,15,5.3,181,411,1661,15,4.0,89,76,655,23,176,33.5,13.1,Own 26.6,2:53,5.86,27.0,1.71,211,83,39.3%,19,15,78.9%,45,25,55.6%
2021,460,6325,1058,6.0,23,5,355,406,607,4642,41,18,7.3,233,420,1683,10,4.0,99,76,637,23,181,45.9,12.2,Own 28.0,2:44,6.03,34.9,2.50,205,90,43.9%,19,10,52.6%,70,42,60.0%
2020,372,6032,1088,5.5,25,11,352,392,590,4014,20,14,6.5,206,473,2018,19,4.3,123,71,655,23,184,34.2,12.5,Own 27.9,2:47,6.08,32.7,1.88,226,98,43.4%,17,8,47.1%,57,33,57.9%
2019,394,5998,1055,5.7,24,7,342,397,632,4499,22,17,6.9,222,401,1499,20,3.7,92,118,899,28,185,35.7,13.0,Own 28.3,2:31,5.88,32.3,1.98,208,83,39.9%,13,3,23.1%,59,38,64.4%
2018,527,6738,1060,6.4,19,7,401,368,568,4507,32,12,7.5,236,459,2231,23,4.9,134,96,878,31,183,48.6,9.8,Own 30.4,2:41,6.04,36.7,2.66,191,86,45.0%,15,6,40.0%,80,46,57.5%
2017,478,5784,1000,5.8,21,14,311,320,518,3831,28,7,7.0,185,454,1953,17,4.3,97,107,922,29,190,45.3,9.5,Own 32.9,2:32,5.51,30.4,2.33,214,88,41.1,12,5,41.7,69,38,55.1
2016,224,4203,960,4.4,29,9,245,312,536,2951,14,20,5.0,151,375,1252,9,3.3,68,126,1091,26,193,21.8,14.5,Own 27.4,2:26,5.11,21.7,1.13,213,67,31.5%,20,8,40.0%,34,16,47.1%
2015,280,4761,920,5.2,22,11,241,273,473,2805,11,11,5.7,126,429,1956,16,4.6,92,122,1057,23,196,24.5,10.2,Own 27.9,2:18,4.85,24.3,1.29,201,52,25.9%,13,4,30.8%,36,19,52.8%
2014,324,5035,957,5.3,27,11,288,327,515,3400,20,16,6.0,189,395,1635,11,4.1,79,123,1139,20,186,29.6,14.0,Own 28.0,2:31,5.31,26.9,1.55,192,68,35.4%,10,4,40.0%,44,22,50.0%
2013,348,4877,968,5.0,21,10,282,301,506,3125,22,11,5.8,165,426,1752,10,4.1,82,123,1009,35,184,31.5,11.4,Own 26.3,2:32,5.41,26.5,1.64,212,73,34.4%,18,6,33.3%,49,25,51.0%
2012,299,5264,1002,5.3,22,8,287,332,557,3550,22,14,6.0,189,410,1714,5,4.2,79,130,978,19,182,27.5,11.0,Own 24.4,2:37,5.68,28.9,1.42,209,67,32.1%,24,13,54.2%,37,19,51.4%
2011,193,4537,1013,4.5,23,13,267,292,549,2870,9,10,4.8,159,409,1667,7,4.1,79,112,899,29,196,18.9,11.2,Own 26.4,2:18,5.31,23.0,0.89,228,64,28.1%,23,8,34.8%,31,12,38.7%
2010,289,4846,1053,4.6,21,6,292,354,590,3268,18,15,5.2,179,429,1578,9,3.7,84,102,877,29,199,30.2,9.5,Own 30.9,2:30,5.49,24.3,1.45,235,78,33.2%,15,8,53.3%,56,20,35.7%
