Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,368,5656,1065,5.3,18,5,329,371,569,3603,26,13,5.9,193,451,2053,11,4.6,107,121,958,29,194,34.0,9.3,Own 29.7,2:45,5.7,29.3,1.78,224,83,37.1%,20,10,50.0%,57,30,52.6%
2023,402,6313,1147,5.5,19,8,380,390,585,3961,21,11,6.3,202,515,2352,24,4.6,143,103,824,35,183,40.4,10.4,Own 27.3,3:06,6.5,34.4,2.20,231,107,46.3%,26,13,50.0%,57,34,59.6%
2022,401,6149,1117,5.5,25,11,347,343,547,3595,23,14,6.1,188,525,2554,21,4.9,130,98,818,29,188,37.2,12.2,Own 28.3,2:52,6.1,32.6,2.05,227,96,42.3%,28,11,39.3%,52,31,59.6%
2021,366,6445,1201,5.4,18,7,400,443,658,4513,24,11,6.5,240,509,1932,16,3.8,124,96,919,36,189,35.4,8.5,Own 26.0,3:10,6.5,34.1,1.91,224,88,39.3%,31,13,41.9%,61,31,50.8%
2020,371,6089,1112,5.5,22,8,376,450,674,4560,23,14,6.3,253,392,1529,18,3.9,97,94,803,26,175,40.0,12.0,Own 25.5,2:47,6.6,34.8,2.14,223,105,47.1%,23,10,43.5%,56,35,62.5%
2019,398,6106,1014,6.0,32,16,346,383,598,4223,19,16,6.7,224,388,1883,22,4.9,97,96,798,25,179,36.9,16.2,Own 26.6,2:38,5.9,34.0,2.02,185,71,38.4%,12,7,58.3%,52,32,61.5%
2018,347,5653,955,5.9,26,14,323,355,546,3842,26,12,6.5,201,366,1811,9,4.9,91,108,981,31,176,35.2,14.2,Own 28.0,2:38,5.6,32.1,1.88,183,64,35.0%,13,6,46.2%,51,25,49.0%
2017,332,5171,1045,4.9,25,11,316,325,554,3347,19,14,5.6,181,452,1824,14,4.0,90,102,878,45,193,33.2,11.9,Own 29.5,2:33,5.6,26.8,1.68,223,85,38.1,15,7,46.7,42,20,47.6
2016,292,5099,1020,5.0,19,8,307,331,537,3612,16,11,6.2,180,441,1487,16,3.4,94,103,925,33,184,28.3,10.3,Own 28.4,2:41,5.7,27.9,1.57,212,82,38.7%,20,6,30.0%,46,26,56.5%
2015,277,4668,947,4.9,23,9,273,333,548,3364,14,14,5.8,175,362,1304,10,3.6,71,94,795,27,174,29.3,13.2,Own 23.8,2:39,5.6,26.9,1.43,195,67,34.4%,7,1,14.3%,38,16,42.1%
