,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,277,5110,1026,5.0,30,10,291,389,593,3789,20,20,5.9,188,389,1321,11,3.4,77,96,832,26,183,25.7,15.3,Own 25.7,2:38,5.7,27.9,1.45,218,85,39.0%,25,10,40.0%,37,21,56.8%
1,2021,365,5270,1032,5.1,20,11,318,372,545,3510,25,9,5.9,180,439,1760,17,4.0,97,94,793,41,183,34.4,9.3,Own 29.5,2:46,5.8,28.8,1.95,220,88,40.0%,25,11,44.0%,60,34,56.7%
2,2020,390,5030,997,5.0,20,8,311,341,537,3327,25,12,5.9,176,430,1703,12,4.0,102,79,709,33,183,38.3,10.4,Own 30.5,2:30,5.7,27.3,1.96,200,71,35.5%,20,13,65.0%,45,26,57.8%
3,2019,310,4509,968,4.7,27,15,285,318,519,2707,23,12,4.8,150,401,1802,11,4.5,105,116,957,30,177,28.8,14.1,Own 28.5,2:37,5.6,25.4,1.63,192,64,33.3%,25,8,32.0%,40,24,60.0%
4,2018,435,5546,1023,5.4,7,5,337,344,542,3732,35,2,6.4,195,444,1814,13,4.1,104,117,1011,38,181,39.8,3.9,Own 30.9,2:42,5.8,30.5,2.25,216,87,40.3%,17,10,58.8%,58,38,65.5%
5,2017,383,5625,1065,5.3,20,10,343,344,544,3764,27,10,6.6,198,491,1861,13,3.8,108,97,791,37,188,37.8,10.1,Own 29.5,2:43,5.9,29.8,1.98,221,95,43.0,12,10,83.3,57,34,59.6
6,2016,480,6502,1102,5.9,20,10,358,322,521,3848,30,10,6.9,187,548,2654,25,4.8,140,93,780,31,203,41.4,9.4,Own 31.6,2:38,5.6,31.9,2.33,226,102,45.1%,7,4,57.1%,66,41,62.1%
7,2015,387,6199,1081,5.7,12,3,356,375,549,4179,21,9,7.2,199,504,2020,20,4.0,128,112,920,29,182,37.9,6.6,Own 28.9,3:00,6.1,34.0,2.04,210,82,39.0%,11,6,54.5%,54,32,59.3%
8,2014,340,5143,989,5.2,29,6,308,324,551,3531,29,23,6.0,188,402,1612,7,4.0,83,122,909,37,175,32.0,16.6,Own 25.8,2:40,5.8,29.3,1.78,203,88,43.3%,14,7,50.0%,44,27,61.4%
9,2013,272,5071,1020,5.0,30,12,284,345,585,3536,19,18,5.7,181,397,1535,11,3.9,77,96,878,26,191,26.2,13.1,Own 25.3,2:28,5.5,26.5,1.41,223,76,34.1%,23,10,43.5%,41,22,53.7%
10,2012,273,4710,1012,4.7,25,11,284,337,567,3203,19,14,5.3,178,407,1507,7,3.7,72,93,758,34,180,26.7,12.8,Own 24.9,2:40,5.8,26.2,1.38,215,71,33.0%,25,14,56.0%,36,22,61.1%
11,2011,229,4931,974,5.1,38,15,267,333,579,3695,20,23,6.0,190,353,1236,3,3.5,53,98,867,24,193,23.3,18.7,Own 24.3,2:20,5.2,25.5,1.18,216,76,35.2%,17,7,41.2%,34,14,41.2%
12,2010,346,5244,1033,5.1,22,7,299,358,550,3697,25,15,6.3,188,447,1547,9,3.5,86,97,839,25,195,31.8,11.3,Own 30.0,2:35,5.5,26.9,1.65,217,84,38.7%,13,3,23.1%,55,26,47.3%
13,2009,281,5222,1050,5.0,33,15,278,352,580,3670,14,18,5.9,176,426,1552,12,3.6,77,114,969,25,206,26.7,15.5,Own 29.6,2:21,5.3,25.2,1.31,240,88,36.7%,15,6,40.0%,47,19,40.4%
14,2008,381,5216,1027,5.1,18,6,293,331,545,3507,22,12,6.1,170,452,1709,14,3.8,104,111,869,19,184,38.6,9.8,Own 33.7,2:41,5.8,28.3,1.94,219,83,37.9%,19,12,63.2%,52,25,48.1%
15,2007,364,5539,1078,5.1,22,10,308,345,543,3643,24,12,6.3,187,504,1896,9,3.8,94,89,661,27,197,32.5,10.7,Own 30.2,2:43,5.6,28.1,1.64,241,97,40.2%,13,7,53.8%,53,25,47.2%
16,2006,412,5507,1025,5.4,27,13,326,331,518,3571,25,14,6.5,189,473,1936,18,4.1,107,87,703,30,187,39.0,13.9,Own 32.2,2:43,5.7,29.4,2.09,216,96,44.4%,14,7,50.0%,62,32,51.6%
17,2005,428,6259,1090,5.7,26,10,335,374,576,4427,28,16,7.3,205,486,1832,19,3.8,115,120,961,15,201,37.8,10.9,Own 35.0,2:38,5.6,31.1,2.07,226,87,38.5%,19,11,57.9%,64,33,51.6%
18,2004,452,5481,1014,5.4,21,12,322,308,490,3486,27,9,6.7,179,495,1995,22,4.0,121,107,867,22,195,37.9,9.7,Own 34.7,2:34,5.4,28.0,2.14,206,83,40.3%,9,6,66.7%,60,36,60.0%
19,2003,337,4928,976,5.0,37,14,292,310,514,3238,25,23,5.8,165,420,1690,13,4.0,99,78,720,28,187,29.4,16.6,Own 31.8,2:31,5.4,26.3,1.70,209,85,40.7%,12,7,58.3%,44,26,59.1%
20,2002,351,5158,978,5.3,27,8,307,340,552,3506,23,19,6.0,188,394,1652,14,4.2,96,82,681,23,169,34.9,14.8,Own 31.4,2:42,6.0,30.3,1.92,211,99,46.9%,11,8,72.7%,52,31,59.6%
21,2001,282,4954,988,5.0,34,10,289,332,567,3383,18,24,5.6,179,389,1571,9,4.0,89,95,812,21,176,28.4,18.8,Own 30.9,2:37,5.8,28.0,1.47,210,78,37.1%,19,11,57.9%,43,21,48.8%
22,2000,422,5709,1031,5.5,21,8,347,320,558,3915,25,13,6.6,194,435,1794,22,4.1,110,102,857,43,183,39.9,10.9,Own 30.6,2:41,5.8,31.2,2.22,204,80,39.2%,18,12,66.7%,56,35,62.5%
23,1999,453,5687,979,5.8,20,7,315,317,521,4068,36,13,7.4,192,426,1619,11,3.8,91,96,760,32,186,39.8,9.7,Own 33.0,2:34,5.4,30.5,2.20,202,81,40.1%,11,7,63.6%,54,31,57.4%
