,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Avg 2Y Win Pct,Coach Tenure Class
0,Aaron Glenn,2025,53,0,0,0,0,5,4,0,-0.6085081013571114,-0.9582524349105388,-1.3620616889524462,-0.0006335724541628451,-0.7709323231255528,0.11799937742740635,-0.16500897797147968,-1.1230298966667212,-0.20742573412176168,0.15053174836432875,-1.3074069693746315,-0.7720921583617683,0.318787464326721,0.05996121883762051,-0.6213573243100685,-0.22401032573205334,0.0713861956390549,-0.13658622613558127,-0.08644986129481647,-1.0241189036944576,0.4172776637016963,-0.7213834950730861,0.25625761953464166,-0.01790030152165817,-0.17879710917702657,-1.0510480102890438,-0.7937728360282792,1.9013383981187295,-0.10009450029165978,0.06431547399734058,-0.1889748030008096,-0.32905271999365115,-0.8027001704303734,0.3529411764705882,-1.0602279694967678,-0.012855538505037845,-1.2636646668694915,-1.1872444483144837,-1.102638244616679,-1.624895437454866,0.09228332159258867,0.7102633174670121,0.0,-1.0,-1
1,Abe Gibron,1972,47,0,0,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,-0.95636808716879,-0.046360030853462846,-1.4859021273769955,0.7714702500710559,-1.6311511696122831,0.14532439158334365,0.3793530094214601,0.6538239626838974,0.0,0.26785714285714285,1
2,Adam Gase,2016,38,0,0,0,0,5,3,0,1.5326185885817845,1.348807367597769,1.0768748256532257,0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,-0.4571460788366148,-0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,0.4375,-0.2684961917239923,0.3273215319180076,-0.3664101372279049,0.29059132295415935,-0.15266073093333285,-0.031051638151515654,-0.49343572931901913,-0.44990111027021734,0.0,0.5,1
3,Adam Gase,2019,41,1,0,0,0,5,3,3,0.036355268455177954,-0.15904338686611286,0.05452264171273494,-0.026426307304865688,-0.27158565320750827,0.21803042317644322,0.08405625441300822,0.14499838306988005,0.32417486375851545,0.08073637511541086,0.17235902766648867,0.09342743162078013,-0.41688845643464556,-0.4857915273638691,-0.2733814427301266,-0.2686997963456981,-0.3258936882505649,-0.34493658791019294,-0.552647322947982,-0.7068556457025454,0.18038264168824178,-0.07890876426986043,0.041117138804731605,-0.5254942307503438,-0.4760200133907822,-0.1541010413458731,-0.017988579541577336,-0.3413924315291899,-0.03915387697644027,-0.2678032326568573,0.21230807345023456,-0.24222254505035654,0.0674660827716329,0.28125,-0.6560915216699068,1.0490069274570228,-1.094508200229655,0.8250190443790659,-0.9496333619168674,0.3444429014635261,-0.3291864501827698,0.9100207187703246,0.0,0.28125,0
4,Adam Walsh,1945,44,0,8,0,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1161226156434867,0.671840759246537,-0.169465307398097,1.1218971653675898,-0.0609710760849692,1.112303382133638,1.146577287233998,0.8545976121261313,0.0,0.7454545454545455,0
5,Al Cornsweet,1931,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0
6,Al Groh,2000,56,0,10,3,7,7,5,0,0.003718780913656028,-0.1489014781852436,-0.3452783605133257,-0.15006988242736308,0.4947563557193124,0.20976240227770537,0.1335627343044441,-0.08645315599443837,-0.14474073489763228,-0.06853850872179487,-0.19185808438784493,0.46209039871368507,0.03417181491755831,-0.12360741651118501,0.18558589746064813,-0.4411462537245178,0.06093317738513262,0.531750812160886,0.2607284774703812,0.5311421112496568,,,,,,,,,,,,,,0.625,0.2766580314445759,-0.9747881297186463,0.2530243080033608,-0.15407914509445425,0.17708898811371507,-0.08458375257479356,0.410725014436213,-1.0563811891107036,1.0,0.5625,0
7,Al Jolley,1929,30,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.6393704953486987,0.2948195162259523,,,,,,,,0.16666666666666666,0
8,Al Jolley,1933,34,1,0,0,0,0,0,1,-0.6827289654269746,,,,,,,,-0.3883809245876808,,,,,,-1.3090545159281637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
9,Al Nesser,1926,34,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,-0.3891570472142746,-0.08368397040185682,,,,,,,,0.25,0
10,Al Saunders,1986,39,0,4,7,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46875,1.3891564648382841,1.3040881509610747,2.0760408940610553,1.596987632351873,1.755272494552265,1.8118265468278874,0.2989932905702951,1.057143698592359,0.0,0.45416666666666666,1
11,Aldo Donelli,1941,34,0,6,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20454545454545453,-1.315627444721041,0.6483542537828693,-1.1654788869859911,0.6153389945812819,-1.260790767337764,0.5742787439598482,-1.4178626533665273,1.3189433283261138,0.0,0.0,0
12,Aldo Donelli,1944,37,1,6,0,4,1,0,1,-1.3564368458324072,-0.7231090635764389,-0.7937252743741507,-1.3732637113380286,-0.483929403096186,-0.14231015425601723,0.022837098329598904,-0.21010750772602227,-0.5189327142858061,-0.9692084347072089,-0.7642122096042175,-0.12059714706510238,-0.5466949726163072,-0.7772416354257022,-0.7078709666308666,-0.6193837643262569,-0.705937193416152,0.5843388791101745,0.7924091079648872,-0.3219369215747869,,,,,,,,,,,,,,0.45454545454545453,-0.255679705671421,0.5597751917281949,-0.4995907684422234,1.4842509112211624,0.0452215631646125,0.846403495879648,-0.0589051154834448,0.1448413648755802,0.0,0.4,0
13,Alex Webster,1969,38,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.40508909649629965,0.6663806629489615,0.6323470749796362,0.22040561977360468,0.7951827286984418,0.7644034174525888,-0.07032400899607572,-0.8849936858177676,0.0,0.5357142857142857,2
14,Alfred McGall,1930,49,0,0,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166666666666667,-0.9714332304155184,-0.5952351020489823,,,,,,,,0.0,0
15,Algy Clark,1934,30,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,-1.2391714107384697,-0.0122372348852812,-1.8065870452602848,0.2592291431839506,-1.7923800222323465,0.0163758483676828,-0.439747413860776,-1.2813990720456698,,0.0,0
16,Allie Sherman,1961,38,0,0,0,0,4,2,0,0.17378455727770084,0.2989245375109082,0.7085462404375225,-0.4758196226734246,-0.5128732846836251,-0.18260994550426074,-0.4289292666057062,0.5052127029185243,0.18313976955815559,0.5818287739576655,1.4095884131947292,-0.04129838077876394,0.5058681644808832,-0.5050189012147067,-0.7164192780353308,-1.0116878710491657,-0.5673388599885595,0.6833685676051056,0.9079536255883041,-0.9581393249996382,,,,,,,,,,,,,,0.7083333333333334,0.17378455727770084,-1.0501463276643763,0.2989245375109082,-1.8195412591425997,0.7085462404375225,-1.5203291531727348,0.029822065707242107,0.4758196226734246,1.0,0.8035714285714286,2
17,Andy Reid,1999,41,0,6,3,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296875,-1.2517224817380335,0.4265309325986473,-0.14490490854162374,-0.07303603421972199,-0.8623130756371834,-0.1057005407677187,-1.0960639167957056,0.01895294976063769,0.0,0.5,2
18,Andy Reid,2013,55,1,6,3,0,7,0,14,0.41968224334012466,0.34356444685807075,0.5343012344052673,0.13606811354312856,0.13468761711515073,0.09246583386136528,0.08889208009928118,0.34269760619019574,0.27871293598035246,0.2341963334673125,0.3283703534321036,0.2385380797114687,-0.29760442010963656,0.0950757872064454,0.2782003377177889,0.4983309983887669,0.11090411630143752,-0.1746581930435632,-0.1885044965698992,-0.4402629377699684,-0.03794551169638836,0.40780009355555585,0.18208952632928035,-0.23616341444022476,-0.07258903646996646,0.32417200390622714,0.3766591686456064,-0.19742515786767828,0.30563297256665684,-0.5514171805055881,0.15413514619903737,0.18845497230333397,0.18076929919524984,0.28125,-1.8740041040368096,0.38612669584219517,-0.7739937871302652,-0.058090003846436894,-0.8567599093806872,0.5010306797605826,-0.7628870774405786,1.1326419276933666,0.0,0.625,2
19,Andy Salata,1930,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166666666666667,-0.9714332304155184,-0.5952351020489823,,,,,,,,0.16666666666666666,0
