,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Avg 2Y Win Pct,Coach Tenure Class
0,Aaron Kromer,2012,45,0,9,0,0,9,0,0,0,,,,,,,,,,0.75,0.3548387096774193,0.9032258064516129,0.935483870967742,0.8333333333333334,1.0,0.5,0.3333333333333333,0
1,Abe Gibron,1972,47,0,0,0,0,12,0,0,0,,,,,,,,,,0.42857142857142855,0.36,0.25999999999999995,0.06,0.16666666666666669,0.0,0.0,0.26785714285714285,1
2,Adam Gase,2016,38,0,0,0,0,5,3,0,0,0.7526881720430109,0.7526881720430106,0.6451612903225806,,,,,,,0.4375,0.5161290322580645,0.3387096774193548,0.3870967741935484,0.16666666666666669,0.0,0.0,0.5,1
3,Adam Gase,2019,41,1,0,0,0,5,3,3,0,0.7526881720430109,0.7526881720430106,0.6451612903225806,,,,0.12903225806451615,0.13978494623655915,0.4623655913978495,0.28125,0.2258064516129032,0.14516129032258068,0.11290322580645162,0.0,0.0,0.0,0.28125,-1
4,Adam Walsh,1945,44,0,8,0,12,0,0,0,0,,,,,,,,,,0.4,0.6,0.4,0.4,0.25,0.0,0.0,0.7454545454545455,0
5,Al Cornsweet,1931,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.2,0
6,Al Davis,1963,34,0,7,0,0,0,0,0,0,,,,,,,,,,0.10714285714285714,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1
7,Al Groh,2000,56,0,10,3,7,7,5,0,0,,,,0.4303959131545339,0.5077905491698596,0.46513409961685825,,,,0.625,0.8114942528735632,0.6643678160919539,0.4977011494252873,0.625,0.5,0.5,0.5625,0
8,Al Jolley,1929,30,0,0,0,0,0,0,0,0,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,,,0.16666666666666666,0
9,Al Jolley,1933,34,1,0,0,0,0,0,1,0,,,,,,,1.0,0.18181818181818177,1.0,,,,,,,,0.0,0
10,Al Nesser,1926,34,0,0,0,0,0,0,0,0,,,,,,,,,,0.4375,1.0,0.43343653250773995,1.0,0.568111455108359,,,0.25,0
11,Al Pierotti,1920,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.5,0
12,Al Saunders,1986,39,0,4,7,0,3,0,0,0,,,,,,,,,,0.46875,0.35185185185185186,0.5185185185185186,0.7222222222222223,0.125,0.0,0.0,0.45416666666666666,1
